loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,group_id,total_rows,defective_count,non_defective_count,unique_labels,is_conflict,majority_label,majority_count,minority_count,ambiguity_rate_percent,disagreement_rate_percent
11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,39,6,3,3,2,True,Tie,3,3,50.0,50.0
6.0,1.0,1.0,1.0,13.0,36.5,0.44,2.25,16.21,82.12,0.01,4.56,4,0,0,0,3.0,4.0,7.0,6.0,1.0,23,4,2,2,2,True,Tie,2,2,50.0,50.0
15.0,2.0,1.0,2.0,35.0,151.27,0.19,5.33,28.36,806.76,0.05,44.82,13,0,2,0,8.0,12.0,19.0,16.0,3.0,49,4,2,2,2,True,Tie,2,2,50.0,50.0
18.0,1.0,1.0,1.0,18.0,72.0,0.3,3.3,21.82,237.6,0.02,13.2,14,0,2,0,6.0,10.0,7.0,11.0,1.0,54,4,2,2,2,True,Tie,2,2,50.0,50.0
24.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,72,4,2,2,2,True,Tie,2,2,50.0,50.0
5.0,1.0,1.0,1.0,10.0,30.0,0.5,2.0,15.0,60.0,0.01,3.33,3,0,0,0,4.0,4.0,6.0,4.0,1.0,17,2,1,1,2,True,Tie,1,1,50.0,50.0
6.0,1.0,1.0,1.0,9.0,23.26,0.5,2.0,11.63,46.53,0.01,2.58,3,0,1,0,3.0,3.0,5.0,4.0,1.0,21,2,1,1,2,True,Tie,1,1,50.0,50.0
8.0,1.0,1.0,1.0,14.0,46.51,0.33,3.0,15.5,139.52,0.02,7.75,4,0,2,0,5.0,5.0,8.0,6.0,1.0,32,2,1,1,2,True,Tie,1,1,50.0,50.0
10.0,1.0,1.0,1.0,18.0,66.61,0.29,3.43,19.43,228.37,0.02,12.69,5,0,3,0,6.0,7.0,10.0,8.0,1.0,38,2,1,1,2,True,Tie,1,1,50.0,50.0
14.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,48,2,1,1,2,True,Tie,1,1,50.0,50.0
18.0,4.0,1.0,1.0,47.0,212.61,0.12,8.25,25.77,1754.01,0.07,97.45,12,1,3,0,11.0,12.0,29.0,18.0,7.0,58,2,1,1,2,True,Tie,1,1,50.0,50.0
20.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,63,2,1,1,2,True,Tie,1,1,50.0,50.0
20.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,65,2,1,1,2,True,Tie,1,1,50.0,50.0
23.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,69,2,1,1,2,True,Tie,1,1,50.0,50.0
24.0,15.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,29.0,73,2,1,1,2,True,Tie,1,1,50.0,50.0
26.0,3.0,1.0,2.0,73.0,350.94,0.06,16.67,21.06,5848.95,0.12,324.94,17,4,3,0,16.0,12.0,48.0,25.0,5.0,75,2,1,1,2,True,Tie,1,1,50.0,50.0
26.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,11.0,77,2,1,1,2,True,Tie,1,1,50.0,50.0
33.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,80,2,1,1,2,True,Tie,1,1,50.0,50.0
35.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,82,2,1,1,2,True,Tie,1,1,50.0,50.0
39.0,5.0,1.0,5.0,83.0,425.73,0.12,8.48,50.21,3609.84,0.14,200.55,28,2,5,2,11.0,24.0,46.0,37.0,9.0,83,2,1,1,2,True,Tie,1,1,50.0,50.0
40.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,11.0,84,2,1,1,2,True,Tie,1,1,50.0,50.0
42.0,15.0,10.0,7.0,194.0,995.08,0.02,50.25,19.8,50002.82,0.33,2777.93,29,6,2,3,21.0,14.0,127.0,67.0,29.0,86,2,1,1,2,True,Tie,1,1,50.0,50.0
78.0,15.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,29.0,87,2,1,1,2,True,Tie,1,1,50.0,50.0
80.0,12.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,23.0,88,2,1,1,2,True,Tie,1,1,50.0,50.0
