column,dtype,missing_count,missing_percentage,unique_values
loc,float64,0,0.0,365
v(g),float64,0,0.0,108
ev(g),float64,0,0.0,74
iv(g),float64,0,0.0,82
n,float64,0,0.0,806
v,float64,0,0.0,3988
l,float64,0,0.0,55
d,float64,0,0.0,2693
i,float64,0,0.0,4265
e,float64,0,0.0,6975
b,float64,0,0.0,310
t,float64,0,0.0,6758
lOCode,int64,0,0.0,291
lOComment,int64,0,0.0,88
lOBlank,int64,0,0.0,95
locCodeAndComment,int64,0,0.0,30
uniq_Op,float64,0,0.0,68
uniq_Opnd,float64,0,0.0,171
total_Op,float64,0,0.0,581
total_Opnd,float64,0,0.0,468
branchCount,float64,0,0.0,146
defects,bool,0,0.0,2
