,count,mean,std,min,25%,50%,75%,max
loc,13204.0,39.67752953650409,71.89936391140897,1.0,10.0,22.0,43.0,3442.0
v(g),13204.0,6.020251438957891,12.194974103197527,1.0,1.0,3.0,6.0,470.0
ev(g),13204.0,3.213677673432293,6.466248342701634,1.0,1.0,1.0,3.0,165.0
iv(g),13204.0,3.8175098455013634,8.478262708458665,1.0,1.0,2.0,4.0,402.0
n,13204.0,108.86483641320812,234.80911059261533,0.0,14.0,47.0,115.0,8441.0
v,13204.0,633.893629960618,1804.952017347224,0.0,49.83,206.57999999999998,593.4875,80843.08
l,13204.0,0.14437443199030597,0.16530411745190454,0.0,0.04,0.08,0.18,1.3
d,13204.0,13.858345955770979,18.44510198661148,0.0,3.0,8.895,18.24,418.2
i,13204.0,28.757208421690393,32.50239585958356,0.0,12.27,21.515,35.97,569.78
e,13204.0,33656.99124734929,401839.4777303416,0.0,159.45,1877.33,10492.595,31079782.27
b,13204.0,0.21144956073916993,0.6017565023218324,0.0,0.02,0.07,0.2,26.95
t,13204.0,1869.832930172675,22324.41536300706,0.0,8.86,104.295,582.9200000000001,1726654.57
lOCode,13204.0,25.09921235989094,55.68910331033843,0.0,3.0,12.0,27.0,2824.0
lOComment,13204.0,2.59588003635262,8.693226635798707,0.0,0.0,0.0,1.0,344.0
lOBlank,13204.0,4.432444713723114,9.701586789634618,0.0,0.0,2.0,5.0,447.0
locCodeAndComment,13204.0,0.3522417449257801,1.8086683072212224,0.0,0.0,0.0,0.0,108.0
uniq_Op,13204.0,11.022887003938202,9.537748835424502,0.0,5.0,10.0,15.0,411.0
uniq_Opnd,13204.0,16.154286579824298,24.91815387910041,0.0,4.0,11.0,20.0,1026.0
total_Op,13204.0,64.77765828536806,142.72748781831967,0.0,8.0,28.0,69.0,5420.0
total_Opnd,13204.0,44.20298394425931,94.31132235678945,0.0,6.0,19.0,46.0,3021.0
branchCount,13204.0,10.669675855801271,21.289988448457972,1.0,1.0,5.0,11.0,826.0
