,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount
loc,1.0,0.8129661237312337,0.5055370338915568,0.7810029070736524,0.8790351980449135,0.8998611565097107,-0.291869636785575,0.68224828042422,0.4791374872910716,0.7594076120455461,0.8995124667856728,0.7594076082807193,0.920649089150472,0.604464788398893,0.7974373558288018,0.2687696604118163,0.5206811665664735,0.7567062043375671,0.8785717062811911,0.8646751134563945,0.8251359045787695
v(g),0.8129661237312337,1.0,0.6941346447507553,0.8571036343509817,0.7237577806778593,0.755312515426755,-0.26433740702663194,0.6646853284784952,0.2774699133036259,0.7148117185235849,0.7550540763659886,0.714811717842331,0.7956645724272828,0.3720375531712026,0.5254693711666987,0.19965164532376922,0.645381669920766,0.6930304564261542,0.737840318886056,0.6876599574475694,0.9711785872185112
ev(g),0.5055370338915568,0.6941346447507553,1.0,0.6327226705810322,0.4532627036197803,0.4355060503836043,-0.2532639058883788,0.4194045951348784,0.18779861514315446,0.3151318642950707,0.43527797129532403,0.31513186173736607,0.4427576347297392,0.2820412798021883,0.3220440562879207,0.18186785934171884,0.23730547199253077,0.31823142516564895,0.46799431919726153,0.42151059977652133,0.7801517862771382
iv(g),0.7810029070736524,0.8571036343509817,0.6327226705810322,1.0,0.6971050200887899,0.7393217382356143,-0.2032411462169884,0.5715653700367881,0.2907281722076966,0.7612577987942738,0.7391357523370277,0.7612577962743114,0.7727532694614131,0.3410901539662949,0.5320464767164237,0.19872957400515479,0.49518803300720077,0.6109218193545043,0.7105132436604333,0.662477797028624,0.856903308885963
n,0.8790351980449135,0.7237577806778593,0.4532627036197803,0.6971050200887899,1.0,0.9847167476503512,-0.24236193840696188,0.8060871208274715,0.6384628509527897,0.7228224931761871,0.9843637457701258,0.7228224882155169,0.9430104668116638,0.5878686215235562,0.7921018199047832,0.2744771047107746,0.5971141142863621,0.8307858605910203,0.9955918042389156,0.9892130675998176,0.7407939646157689
v,0.8998611565097107,0.755312515426755,0.4355060503836043,0.7393217382356143,0.9847167476503512,1.0,-0.20396012317670148,0.7541623918836717,0.5897255991070869,0.8037830277450221,0.9996902529135514,0.8037830243373822,0.9618160325395865,0.569040799597523,0.7880892446532596,0.2579688033965842,0.6032092018719752,0.8510649532494826,0.981882863006567,0.97214677645278,0.7555341757108824
l,-0.291869636785575,-0.26433740702663194,-0.2532639058883788,-0.2032411462169884,-0.24236193840696188,-0.20396012317670148,1.0,-0.3450273750614023,-0.08180296506758174,-0.07090858176420502,-0.20023686746875896,-0.07090848980169363,-0.2161142395918385,-0.16417264354525174,-0.20553056674392428,-0.1025726231354254,-0.261912729972562,-0.2027560505115682,-0.23978458350629017,-0.2412875439100853,-0.2918946718660796
d,0.68224828042422,0.6646853284784952,0.4194045951348784,0.5715653700367881,0.8060871208274715,0.7541623918836717,-0.3450273750614023,1.0,0.35943614025968723,0.5918488255917579,0.7537405582285112,0.5918488182006875,0.767015904974044,0.4946811796989542,0.6243326309236208,0.24229693642582623,0.7309785528257395,0.6238240097460399,0.8162366415246385,0.7742785636645818,0.6650648133023375
i,0.4791374872910716,0.2774699133036259,0.18779861514315446,0.2907281722076966,0.6384628509527897,0.5897255991070869,-0.08180296506758174,0.35943614025968723,1.0,0.2077883228031467,0.5892694855325733,0.20778831506957823,0.547769654165403,0.3764750399740113,0.5545396578427478,0.2050237347730499,0.34109749410039614,0.7105667714689818,0.6070779075028732,0.6766674814171263,0.29818972193277504
e,0.7594076120455461,0.7148117185235849,0.3151318642950707,0.7612577987942738,0.7228224931761871,0.8037830277450221,-0.07090858176420502,0.5918488255917579,0.2077883228031467,1.0,0.8036619692081458,0.9999999999998027,0.8158626867011542,0.3836999298900281,0.6057367786611348,0.14635036741289129,0.5000423246183607,0.5946700853665075,0.7421311747826826,0.6791148065770818,0.6743076380118852
b,0.8995124667856728,0.7550540763659886,0.43527797129532403,0.7391357523370277,0.9843637457701258,0.9996902529135514,-0.20023686746875896,0.7537405582285112,0.5892694855325733,0.8036619692081458,1.0,0.8036619809227442,0.9615061956744283,0.5688617059526367,0.7878187160072176,0.2581545911042419,0.6026865675985175,0.8506590297828414,0.9815412995607163,0.971789856264311,0.7552588318335006
t,0.7594076082807193,0.714811717842331,0.31513186173736607,0.7612577962743114,0.7228224882155169,0.8037830243373822,-0.07090848980169363,0.5918488182006875,0.20778831506957823,0.9999999999998027,0.8036619809227442,1.0,0.815862684294389,0.38369992693393623,0.6057367750641184,0.14635037443121018,0.5000423200675477,0.5946700821322157,0.7421311699578915,0.6791148014896291,0.6743076341758308
lOCode,0.920649089150472,0.7956645724272828,0.4427576347297392,0.7727532694614131,0.9430104668116638,0.9618160325395865,-0.2161142395918385,0.767015904974044,0.547769654165403,0.8158626867011542,0.9615061956744283,0.815862684294389,1.0,0.5433443368312706,0.8015393557533812,0.24990862080755616,0.6507400808967525,0.8437493005276611,0.9414856120815799,0.9290611692636166,0.7920413275089386
lOComment,0.604464788398893,0.3720375531712026,0.2820412798021883,0.3410901539662949,0.5878686215235562,0.569040799597523,-0.16417264354525174,0.4946811796989542,0.3764750399740113,0.3836999298900281,0.5688617059526367,0.38369992693393623,0.5433443368312706,1.0,0.6120856401145813,0.2548856132904185,0.3409625754034162,0.47020482302674077,0.5883236860614418,0.5753850410877631,0.40147429783271305
lOBlank,0.7974373558288018,0.5254693711666987,0.3220440562879207,0.5320464767164237,0.7921018199047832,0.7880892446532596,-0.20553056674392428,0.6243326309236208,0.5545396578427478,0.6057367786611348,0.7878187160072176,0.6057367750641184,0.8015393557533812,0.6120856401145813,1.0,0.2608506967657138,0.4565416151857181,0.6754173866696436,0.7905227678487136,0.7820135433105091,0.5560159103866585
locCodeAndComment,0.2687696604118163,0.19965164532376922,0.18186785934171884,0.19872957400515479,0.2744771047107746,0.2579688033965842,-0.1025726231354254,0.24229693642582623,0.2050237347730499,0.14635036741289129,0.2581545911042419,0.14635037443121018,0.24990862080755616,0.2548856132904185,0.2608506967657138,1.0,0.18384068376465393,0.23794074408907978,0.2732733169630596,0.27083429536038567,0.22036269442092063
