feature,count,mean,std,min,25%,50%,75%,max,missing_count,missing_percentage,skewness,zero_count,zero_percentage
loc,8908.0,48.949382577458465,82.89518988163901,1.0,15.0,27.0,55.0,3442.0,0,0.0,14.054700201597747,0,0.0
v(g),8908.0,7.311562640323305,14.16716685549217,1.0,2.0,4.0,8.0,470.0,0,0.0,14.23542442004092,0,0.0
ev(g),8908.0,3.845352492141895,7.363355858396444,1.0,1.0,1.0,4.0,165.0,0,0.0,7.583975933579464,0,0.0
iv(g),8908.0,4.547081275258195,9.969869360304688,1.0,1.0,2.0,5.0,402.0,0,0.0,19.909506977885616,0,0.0
n,8908.0,135.1565222272115,270.84775936245546,0.0,26.0,64.0,141.0,8441.0,0,0.0,9.801607848997621,971,10.900314324202965
v,8908.0,802.9855466995958,2119.4765100400596,0.0,102.19,298.06,747.86,80843.08,0,0.0,14.476848932226456,982,11.023798832510105
l,8908.0,0.09921867983834756,0.10695073568863299,0.0,0.03,0.07,0.13,1.3,0,0.0,2.44646207034111,1000,11.22586439155815
d,8908.0,16.30957117198024,19.712063559007127,0.0,5.34,11.27,21.2225,418.2,0,0.0,5.962434931429066,990,11.113605747642568
i,8908.0,33.32897058823529,36.61515857361047,0.0,14.887500000000001,25.285,40.76,569.78,0,0.0,4.951588732977422,990,11.113605747642568
e,8908.0,44601.13027615626,479791.521004034,0.0,581.9625,3422.705,15272.6125,31079782.27,0,0.0,41.85461470105731,990,11.113605747642568
b,8908.0,0.267896273013022,0.7066101138125678,0.0,0.03,0.1,0.25,26.95,0,0.0,14.471180977706434,1022,11.472833408172429
t,8908.0,2477.840717332735,26655.084442500323,0.0,32.33,190.14999999999998,848.4775,1726654.57,0,0.0,41.85461485739472,990,11.113605747642568
lOCode,8908.0,30.97889537494387,64.851150510246,0.0,7.0,16.0,34.0,2824.0,0,0.0,16.521684677029018,975,10.945217781769196
lOComment,8908.0,3.3030983385720702,9.859616592417991,0.0,0.0,0.0,3.0,344.0,0,0.0,10.452440762981288,5435,61.01257296811855
lOBlank,8908.0,5.4934889986528965,10.7998863890186,0.0,1.0,3.0,6.0,447.0,0,0.0,12.79344100833587,1858,20.857656039515042
locCodeAndComment,8908.0,0.44364616075437807,2.0965981088497654,0.0,0.0,0.0,0.0,108.0,0,0.0,20.434596642959363,7646,85.83295913785362
uniq_Op,8908.0,12.449730579254602,10.463695969902538,0.0,7.0,12.0,17.0,411.0,0,0.0,15.458538679106443,971,10.900314324202965
uniq_Opnd,8908.0,19.424809160305344,28.687163092225703,0.0,6.0,13.0,24.0,1026.0,0,0.0,13.134817286196872,990,11.113605747642568
total_Op,8908.0,80.38226313426134,164.54621002226276,0.0,15.75,38.0,84.0,5420.0,0,0.0,10.54957193844883,971,10.900314324202965
total_Opnd,8908.0,54.90639874270319,108.87534234215497,0.0,10.0,25.0,58.0,3021.0,0,0.0,8.864548054230676,990,11.113605747642568
branchCount,8908.0,13.136663673102829,24.49289250989167,1.0,3.0,7.0,15.0,826.0,0,0.0,10.941489618257703,0,0.0
