feature,target_pearson_correlation,absolute_correlation
loc,0.2249320097614715,0.2249320097614715
branchCount,0.20407544199413985,0.20407544199413985
v(g),0.19151525471621214,0.19151525471621214
uniq_Opnd,0.18749552052642518,0.18749552052642518
n,0.1845673137079217,0.1845673137079217
total_Opnd,0.1836919686314207,0.1836919686314207
total_Op,0.18203437481342066,0.18203437481342066
lOBlank,0.17774896288306835,0.17774896288306835
lOCode,0.17698919674032348,0.17698919674032348
b,0.17413810106975922,0.17413810106975922
v,0.17398401950690473,0.17398401950690473
iv(g),0.1682657900869484,0.1682657900869484
i,0.1635440670305671,0.1635440670305671
ev(g),0.1574780748771631,0.1574780748771631
lOComment,0.14628564536764624,0.14628564536764624
d,0.13964913592505415,0.13964913592505415
l,-0.1252763646679125,0.1252763646679125
uniq_Op,0.12350673467584788,0.12350673467584788
locCodeAndComment,0.10924848606397194,0.10924848606397194
t,0.08326345336971548,0.08326345336971548
e,0.08326344719471261,0.08326344719471261
