feature_1,feature_2,pearson_correlation,absolute_correlation
e,t,0.9999999999998027,0.9999999999998027
v,b,0.9996902529135514,0.9996902529135514
n,total_Op,0.9955918042389156,0.9955918042389156
n,total_Opnd,0.9892130675998176,0.9892130675998176
n,v,0.9847167476503512,0.9847167476503512
n,b,0.9843637457701258,0.9843637457701258
v,total_Op,0.981882863006567,0.981882863006567
b,total_Op,0.9815412995607163,0.9815412995607163
v,total_Opnd,0.97214677645278,0.97214677645278
total_Op,total_Opnd,0.9720364577249363,0.9720364577249363
b,total_Opnd,0.971789856264311,0.971789856264311
v(g),branchCount,0.9711785872185112,0.9711785872185112
v,lOCode,0.9618160325395865,0.9618160325395865
b,lOCode,0.9615061956744283,0.9615061956744283
n,lOCode,0.9430104668116638,0.9430104668116638
lOCode,total_Op,0.9414856120815799,0.9414856120815799
lOCode,total_Opnd,0.9290611692636166,0.9290611692636166
loc,lOCode,0.920649089150472,0.920649089150472
loc,v,0.8998611565097107,0.8998611565097107
loc,b,0.8995124667856728,0.8995124667856728
loc,n,0.8790351980449135,0.8790351980449135
loc,total_Op,0.8785717062811911,0.8785717062811911
loc,total_Opnd,0.8646751134563945,0.8646751134563945
v(g),iv(g),0.8571036343509817,0.8571036343509817
iv(g),branchCount,0.856903308885963,0.856903308885963
v,uniq_Opnd,0.8510649532494826,0.8510649532494826
b,uniq_Opnd,0.8506590297828414,0.8506590297828414
uniq_Opnd,total_Opnd,0.8465791092290469,0.8465791092290469
lOCode,uniq_Opnd,0.8437493005276611,0.8437493005276611
n,uniq_Opnd,0.8307858605910203,0.8307858605910203
loc,branchCount,0.8251359045787695,0.8251359045787695
d,total_Op,0.8162366415246385,0.8162366415246385
e,lOCode,0.8158626867011542,0.8158626867011542
t,lOCode,0.815862684294389,0.815862684294389
loc,v(g),0.8129661237312337,0.8129661237312337
uniq_Opnd,total_Op,0.8112479177619559,0.8112479177619559
n,d,0.8060871208274715,0.8060871208274715
v,e,0.8037830277450221,0.8037830277450221
v,t,0.8037830243373822,0.8037830243373822
b,t,0.8036619809227442,0.8036619809227442
e,b,0.8036619692081458,0.8036619692081458
lOCode,lOBlank,0.8015393557533812,0.8015393557533812
