feature,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percentage
t,32.33,848.4775,816.1474999999999,-1191.89125,2072.6987499999996,1269,14.245621912887293
e,581.9625,15272.6125,14690.65,-21454.012499999997,37308.587499999994,1269,14.245621912887293
locCodeAndComment,0.0,0.0,0.0,0.0,0.0,1262,14.167040862146385
lOComment,0.0,3.0,3.0,-4.5,7.5,1072,12.034126627750338
ev(g),1.0,4.0,3.0,-3.5,8.5,963,10.810507409070498
v,102.19,747.86,645.6700000000001,-866.315,1716.3650000000002,936,10.50740907049843
b,0.03,0.25,0.22,-0.30000000000000004,0.5800000000000001,912,10.237988325101032
n,26.0,141.0,115.0,-146.5,313.5,865,9.7103726986978
total_Opnd,10.0,58.0,48.0,-62.0,130.0,853,9.575662325999101
total_Op,15.75,84.0,68.25,-86.625,186.375,842,9.452177817691961
lOBlank,1.0,6.0,5.0,-6.5,13.5,815,9.149079479119893
lOCode,7.0,34.0,27.0,-33.5,74.5,787,8.834755276156264
loc,15.0,55.0,40.0,-45.0,115.0,741,8.31836551414459
v(g),2.0,8.0,6.0,-7.0,17.0,691,7.757072294566682
branchCount,3.0,15.0,12.0,-15.0,33.0,669,7.510103277952402
l,0.03,0.13,0.1,-0.12000000000000002,0.28,607,6.814099685675797
iv(g),1.0,5.0,4.0,-5.0,11.0,602,6.757970363718006
uniq_Opnd,6.0,24.0,18.0,-21.0,51.0,567,6.365065110013471
i,14.887500000000001,40.76,25.872499999999995,-23.921249999999986,79.56875,559,6.2752581948810064
d,5.34,21.2225,15.8825,-18.48375,45.04625,497,5.579254602604401
uniq_Op,7.0,17.0,10.0,-8.0,32.0,91,1.0215536596317916
