Model,Repetition_A,Repetition_B,Global_Spearman,Global_Cosine
RF,1,2,0.9207792207792208,0.9828505524027228
RF,1,3,0.8597402597402597,0.9827876600511867
RF,1,4,0.9194805194805193,0.9797247580213613
RF,1,5,0.8753246753246753,0.9921392388484299
RF,2,3,0.8753246753246753,0.9833196775874687
RF,2,4,0.9363636363636364,0.9918023533309608
RF,2,5,0.9246753246753248,0.9723879345741762
RF,3,4,0.8740259740259739,0.9848532093465588
RF,3,5,0.8181818181818182,0.9801758583731444
RF,4,5,0.8987012987012987,0.9715619878779825
XGB,1,2,0.7831168831168831,0.9863139601842739
XGB,1,3,0.8623376623376624,0.9807921915418512
XGB,1,4,0.8428571428571429,0.9925749662204748
XGB,1,5,0.7155844155844155,0.986309642887555
XGB,2,3,0.7155844155844155,0.9849332295091603
XGB,2,4,0.8051948051948051,0.9953446764866986
XGB,2,5,0.6727272727272726,0.9869631821583031
XGB,3,4,0.7766233766233767,0.9856883944060527
XGB,3,5,0.696103896103896,0.9865883734855969
XGB,4,5,0.7675324675324675,0.9887432667954975
LGBM,1,2,0.6974025974025975,0.9833037846291774
LGBM,1,3,0.8103896103896104,0.9900551633687998
LGBM,1,4,0.748051948051948,0.9679453854865526
LGBM,1,5,0.7207792207792209,0.9814406171879133
LGBM,2,3,0.6623376623376622,0.9817815900405014
LGBM,2,4,0.8090909090909091,0.9719269864045713
LGBM,2,5,0.7454545454545455,0.9793029048561451
LGBM,3,4,0.7922077922077921,0.9719530254007945
LGBM,3,5,0.7324675324675325,0.9877131959686313
LGBM,4,5,0.7987012987012986,0.9697387794950685
MLP,1,2,0.7623376623376623,0.9543133384620319
MLP,1,3,0.4688311688311688,0.929116220368946
MLP,1,4,0.6428571428571428,0.9390396451104407
MLP,1,5,0.748051948051948,0.953531182586908
MLP,2,3,0.751948051948052,0.9373402727073961
MLP,2,4,0.7103896103896103,0.9278703172110904
MLP,2,5,0.5467532467532468,0.9132045104579898
MLP,3,4,0.4896103896103896,0.9541732761081732
MLP,3,5,0.2506493506493506,0.939195904163234
MLP,4,5,0.7805194805194805,0.9722563543910067
