Model,Repetition,Feature,Mean_Absolute_SHAP,Normalized_SHAP
RF,1,loc,0.04170156687046372,0.17991933604380714
RF,1,v(g),0.013762596244026832,0.059378036948969135
RF,1,ev(g),0.01202770493250923,0.05189293467820772
RF,1,iv(g),0.0328259855737928,0.14162608200708882
RF,1,n,0.0055154625666983485,0.023796188907177256
RF,1,v,0.004451014457795148,0.019203680486526147
RF,1,l,0.008606036751012597,0.0371303175015105
RF,1,d,0.008384005578031086,0.036172375049421134
RF,1,i,0.011186266763528513,0.04826259155092935
RF,1,e,0.005778887962240179,0.024932724673571504
RF,1,b,0.006658970298710914,0.028729796139340538
RF,1,t,0.005319138585677261,0.022949158856135958
RF,1,lOCode,0.006782701530368416,0.029263628383986186
RF,1,lOComment,0.004958726403119233,0.02139417842124328
RF,1,lOBlank,0.021391206317180503,0.09229129566565882
RF,1,locCodeAndComment,0.0017069297808617024,0.007364463637541581
RF,1,uniq_Op,0.006917569192131653,0.029845508202401567
RF,1,uniq_Opnd,0.008270262721966877,0.03568163715445505
RF,1,total_Op,0.010231378231317388,0.04414277247446786
RF,1,total_Opnd,0.005598816951570425,0.024155817254694963
RF,1,branchCount,0.00970401173633644,0.041867475962865414
XGB,1,loc,0.31329641380909984,0.4011207375502241
XGB,1,v(g),0.031857483146498757,0.040787881932168646
XGB,1,ev(g),0.08265442566218553,0.10582439735045268
XGB,1,iv(g),0.1836621540444321,0.23514695809845776
XGB,1,n,0.0008328559508663602,0.0010663249834968404
XGB,1,v,0.0007143487616364534,0.0009145974531017142
XGB,1,l,0.009428001815601116,0.012070891574913166
XGB,1,d,0.028718056364450604,0.036768400282221
XGB,1,i,0.009279548002959928,0.011880822681066648
XGB,1,e,0.003084812242935489,0.003949557376179275
XGB,1,b,0.000732427618058864,0.000937744236475496
XGB,1,t,0.001080183025575631,0.0013829836308695876
XGB,1,lOCode,0.010814478597021662,0.013846030276304572
XGB,1,lOComment,0.005210408226121217,0.006671007705415339
XGB,1,lOBlank,0.05088036033945779,0.06514331721211578
XGB,1,locCodeAndComment,0.0006244966361252106,0.0007995576720288093
XGB,1,uniq_Op,0.0036588844567207466,0.004684555479097055
XGB,1,uniq_Opnd,0.006159377431031316,0.00788599520801066
XGB,1,total_Op,0.02413531587924808,0.030901010288584517
XGB,1,total_Opnd,0.0023037295325775632,0.002949518885290557
XGB,1,branchCount,0.011924885404805536,0.015267710123525728
LGBM,1,loc,0.10135127235956463,0.34233000025489535
LGBM,1,v(g),0.016697830401369174,0.05639957104117665
LGBM,1,ev(g),0.012581785947237797,0.042496977948580095
LGBM,1,iv(g),0.023088718756022916,0.0779858102776805
LGBM,1,n,0.0020143934182036863,0.006803933323310176
LGBM,1,v,0.006869001284140004,0.023201141501294764
LGBM,1,l,0.006052047326528897,0.020441749911961102
LGBM,1,d,0.011935048733587868,0.0403125204143108
LGBM,1,i,0.014212026475656342,0.048003373946542076
LGBM,1,e,0.007432546985947317,0.025104606507229014
LGBM,1,b,0.002690738601621174,0.009088396472330089
LGBM,1,t,0.002507745474572473,0.008470308156605908
LGBM,1,lOCode,0.017278029896835898,0.058359286877070336
LGBM,1,lOComment,0.007092095286516001,0.023954676884839786
LGBM,1,lOBlank,0.013955127015687688,0.04713565526724863
LGBM,1,locCodeAndComment,0.00204534546539932,0.006908478772791856
LGBM,1,uniq_Op,0.008569154561807782,0.028943678900455953
LGBM,1,uniq_Opnd,0.008371355095041276,0.028275579823530985
LGBM,1,total_Op,0.014226442749136122,0.04805206719714577
LGBM,1,total_Opnd,0.009822712797383063,0.03317777069933917
LGBM,1,branchCount,0.007269655840032032,0.024554415821660996
MLP,1,loc,0.266270036144061,0.21636043548969802
MLP,1,v(g),0.010948755407300767,0.008896522952031066
MLP,1,ev(g),0.016079389097136115,0.0130654717212809
MLP,1,iv(g),0.021509802590596854,0.017478009629596742
MLP,1,n,0.0381362569612341,0.030988004822350628
MLP,1,v,0.0220948999963697,0.017953436498312884
MLP,1,l,0.03862057788601857,0.031381544732888844
MLP,1,d,0.10963605384550375,0.08908589452607943
MLP,1,i,0.12448034820589887,0.10114777741332517
MLP,1,e,0.006992107968203894,0.005681508692826024
MLP,1,b,0.035157294919206626,0.0285674188110443
MLP,1,t,0.0036328100493550684,0.0029518768830022004
MLP,1,lOCode,0.1997416255351692,0.16230209644328134
MLP,1,lOComment,0.05444052974542791,0.044236208078771315
MLP,1,lOBlank,0.03742663369584976,0.030411393195464043
MLP,1,locCodeAndComment,0.009990064421424697,0.008117528806809365
MLP,1,uniq_Op,0.030039149338883374,0.024408617382635393
MLP,1,uniq_Opnd,0.0386027709843907,0.031367075553229276
MLP,1,total_Op,0.03721492107421168,0.03023936394395826
MLP,1,total_Opnd,0.10731365928801703,0.0871988091254342
MLP,1,branchCount,0.02235035035939376,0.018161005297980544
RF,2,loc,0.03729678889723364,0.1621216958983723
RF,2,v(g),0.014769275477228571,0.0641990921565941
RF,2,ev(g),0.015140706618437033,0.06581362917982427
