Model,Repetition,Random_Seed,Bootstrap_Sample_Size,SMOTE_Sample_Size,SHAP_Test_Size,Background_Size
RF,1,43,7126,11108,300,100
XGB,1,43,7126,11108,300,100
LGBM,1,43,7126,11108,300,100
MLP,1,43,7126,11108,300,100
RF,2,44,7126,10970,300,100
XGB,2,44,7126,10970,300,100
LGBM,2,44,7126,10970,300,100
MLP,2,44,7126,10970,300,100
RF,3,45,7126,11102,300,100
XGB,3,45,7126,11102,300,100
LGBM,3,45,7126,11102,300,100
MLP,3,45,7126,11102,300,100
RF,4,46,7126,11052,300,100
XGB,4,46,7126,11052,300,100
LGBM,4,46,7126,11052,300,100
MLP,4,46,7126,11052,300,100
RF,5,47,7126,10916,300,100
XGB,5,47,7126,10916,300,100
LGBM,5,47,7126,10916,300,100
MLP,5,47,7126,10916,300,100
