Model,Repetition_A,Repetition_B,test_position,Local_Spearman,Local_Cosine
RF,1,2,23,0.5051948051948052,0.42858267489226315
RF,1,2,29,0.6142857142857143,0.9270663262084738
RF,1,2,30,0.7246753246753247,0.7235104007358278
RF,1,2,32,0.6337662337662338,0.7929155531091093
RF,1,2,44,0.8545454545454545,0.8986508480043437
RF,1,2,49,0.9077922077922078,0.9531036057125879
RF,1,2,51,0.5,0.8205207540087877
RF,1,2,59,0.7181818181818181,0.6351014190763632
RF,1,2,65,0.7506493506493507,0.9190684538042846
RF,1,2,67,0.8441558441558441,0.9632567737403743
RF,1,2,69,0.696103896103896,0.6579788355194832
RF,1,2,70,0.8610389610389609,0.8250693186984674
RF,1,2,71,0.6090909090909091,0.9170967583811395
RF,1,2,73,0.464935064935065,0.5352320006754805
RF,1,2,76,0.7298701298701298,0.8551081296087655
RF,1,2,78,0.5025974025974026,0.8440245688788078
RF,1,2,99,0.5298701298701299,0.7899677209528841
RF,1,2,109,0.44675324675324674,0.7384533192373792
RF,1,2,111,0.4324675324675325,0.8272109344987117
RF,1,2,115,0.5922077922077922,0.8853930430908112
RF,1,2,123,0.6675324675324676,0.9605790552188961
RF,1,2,124,0.890909090909091,0.9313612758790559
RF,1,2,135,0.748051948051948,0.8757573140573534
RF,1,2,162,0.6116883116883116,0.6292366765132684
RF,1,2,168,0.8337662337662338,0.8506895455072718
RF,1,2,173,0.8090909090909091,0.7860178903440372
RF,1,2,185,0.4948051948051948,0.7492858508544099
RF,1,2,188,0.7688311688311688,0.9345084019586191
RF,1,2,196,0.638961038961039,0.915942192011151
RF,1,2,203,0.7077922077922078,0.8619968265906776
RF,1,2,210,0.8987012987012987,0.9380115010781274
RF,1,2,212,0.6896103896103896,0.8752480790929468
RF,1,2,220,0.6623376623376622,0.8335959885033595
RF,1,2,233,0.8155844155844156,0.8215774674277836
RF,1,2,237,0.9207792207792208,0.9591586766025312
RF,1,2,239,0.7090909090909091,0.9081576774568749
RF,1,2,240,0.6311688311688312,0.9263207622915727
RF,1,2,247,0.43376623376623374,0.6273109841317889
RF,1,2,251,0.5649350649350648,0.7772585582092381
RF,1,2,254,0.5298701298701299,0.7654848492526042
RF,1,2,259,0.8298701298701299,0.8427697211291086
RF,1,2,261,0.7831168831168831,0.7467956861645009
RF,1,2,270,0.7623376623376623,0.9330933935311578
RF,1,2,275,0.6467532467532467,0.8248560041810066
RF,1,2,289,0.8948051948051948,0.9636988784902649
RF,1,2,297,0.8831168831168831,0.882795974050268
RF,1,2,298,0.6532467532467533,0.8027739479858231
RF,1,2,303,0.8298701298701299,0.9271821991959738
RF,1,2,305,0.6246753246753247,0.7665312836697404
RF,1,2,316,0.5337662337662338,0.41091551699577794
RF,1,2,322,0.7792207792207791,0.684889340408442
RF,1,2,324,0.8064935064935065,0.9223592381039336
RF,1,2,331,0.8194805194805195,0.9278200812291191
RF,1,2,332,0.8428571428571429,0.7866789291357742
RF,1,2,339,0.7935064935064934,0.7929933575474083
RF,1,2,342,0.43376623376623374,0.8212655199660082
RF,1,2,344,0.7623376623376623,0.8383884136820897
RF,1,2,350,0.44155844155844154,0.8471410187430402
RF,1,2,351,0.764935064935065,0.8609130400369007
RF,1,2,352,0.7818181818181819,0.8879448122774992
RF,1,2,354,0.8545454545454545,0.8324189200669012
RF,1,2,365,0.20909090909090908,0.8848431213813074
RF,1,2,366,0.7844155844155845,0.9064940348443796
RF,1,2,371,0.7883116883116883,0.9350435288441318
RF,1,2,374,0.8,0.8622153376227226
RF,1,2,382,0.6857142857142857,0.9228218723037488
RF,1,2,383,0.6194805194805195,0.9226401781640217
RF,1,2,394,0.8376623376623376,0.9728872292030957
RF,1,2,398,0.6571428571428571,0.6478988896067445
RF,1,2,411,0.7155844155844155,0.9195128661613946
RF,1,2,413,0.6363636363636362,0.7436324016083967
RF,1,2,415,0.877922077922078,0.8870754293577965
RF,1,2,416,0.6766233766233766,0.7525653139403676
RF,1,2,422,0.9311688311688312,0.8566008124829015
RF,1,2,426,0.7844155844155845,0.8029748893931452
RF,1,2,429,0.7779220779220779,0.6565674840292149
RF,1,2,432,0.7701298701298702,0.7663751760946925
RF,1,2,439,0.6909090909090909,0.948949813833616
RF,1,2,450,0.6350649350649351,0.8809889262934811
RF,1,2,453,0.6194805194805195,0.7981851518558519
RF,1,2,462,0.890909090909091,0.9556145007340885
RF,1,2,464,0.8454545454545455,0.9356054900618552
RF,1,2,471,0.8142857142857143,0.9621152438131223
RF,1,2,479,0.8493506493506494,0.8664944909887738
RF,1,2,481,0.8532467532467533,0.726462881815206
RF,1,2,482,0.7454545454545455,0.8425826179273951
RF,1,2,483,0.8844155844155844,0.9481137498432741
RF,1,2,485,0.7467532467532467,0.9448914498170053
RF,1,2,495,0.5818181818181818,0.9435359883642757
RF,1,2,506,0.6311688311688312,0.75192336179186
RF,1,2,514,0.6051948051948052,0.7133270911920383
RF,1,2,518,0.8545454545454545,0.9101353719321804
RF,1,2,526,0.7155844155844155,0.9264308137110707
RF,1,2,527,0.8142857142857143,0.8129830419726183
RF,1,2,530,0.7467532467532467,0.9398430700733079
RF,1,2,534,0.7870129870129869,0.5853154154546568
RF,1,2,535,0.6883116883116883,0.7389066181282703
RF,1,2,544,0.7948051948051948,0.8480755672490617
RF,1,2,548,0.835064935064935,0.7465970488060872
RF,1,2,561,0.7220779220779221,0.9458261930984254
RF,1,2,567,0.9285714285714285,0.9370919703785708
RF,1,2,576,0.6883116883116883,0.781770320467005
RF,1,2,582,0.764935064935065,0.8566585755765421
RF,1,2,583,0.47402597402597396,0.8726705808909051
RF,1,2,584,0.5714285714285714,0.8414452702953966
RF,1,2,585,0.6974025974025975,0.6278763265082565
RF,1,2,588,0.7779220779220779,0.6745931095612844
RF,1,2,590,0.7870129870129869,0.9718802621574534
RF,1,2,593,0.6103896103896104,0.9592424069572083
RF,1,2,596,0.8935064935064935,0.8769261303973325
RF,1,2,602,0.49870129870129876,0.5469559517774312
RF,1,2,609,0.6493506493506493,0.6279450656361403
RF,1,2,610,0.8935064935064935,0.8482299941873788
RF,1,2,613,0.6623376623376622,0.6418378558805458
RF,1,2,617,0.7493506493506493,0.8845479583925211
RF,1,2,628,0.6766233766233766,0.9153999998857308
RF,1,2,631,0.8883116883116883,0.931113818095512
RF,1,2,637,0.6662337662337662,0.7640457245693106
RF,1,2,650,0.8636363636363636,0.7380151009047902
RF,1,2,651,0.7493506493506493,0.7958530602366193
RF,1,2,654,0.8129870129870129,0.7864649179386121
RF,1,2,660,0.5857142857142857,0.7139407697173749
RF,1,2,680,0.8168831168831169,0.7728028677639094
RF,1,2,693,0.9558441558441559,0.9082626688673975
RF,1,2,705,0.32727272727272727,0.7032630674299333
RF,1,2,710,0.7389610389610389,0.8160660892485168
RF,1,2,720,0.37142857142857144,0.738967738007216
RF,1,2,721,0.8233766233766234,0.9084498877380145
RF,1,2,733,0.7948051948051948,0.9370768450977527
RF,1,2,736,0.5948051948051949,0.9443023180081555
RF,1,2,741,0.4623376623376624,0.5487020861228231
RF,1,2,756,0.6870129870129871,0.7212139006809527
RF,1,2,757,0.803896103896104,0.7688287421248787
RF,1,2,764,0.6597402597402597,0.9338564113306096
RF,1,2,771,0.6727272727272726,0.78131063956458
RF,1,2,777,0.8012987012987013,0.8416280584232915
RF,1,2,778,0.4246753246753247,-0.10960882461737192
RF,1,2,780,0.6779220779220779,0.8978992993073659
RF,1,2,781,0.44285714285714284,0.8066710322680941
RF,1,2,782,0.8935064935064935,0.919845582982924
RF,1,2,798,0.7948051948051948,0.9186434769721813
RF,1,2,799,0.6662337662337662,0.9025075889625116
RF,1,2,816,0.7155844155844155,0.7728706441610637
RF,1,2,817,0.5103896103896104,0.7560120760635137
RF,1,2,824,0.7,0.8087078085779805
RF,1,2,838,0.5428571428571428,0.9000316570165862
RF,1,2,842,0.6493506493506493,0.8353101435781523
RF,1,2,846,0.7883116883116883,0.9317825301739755
RF,1,2,857,0.6103896103896104,0.6612447919899914
RF,1,2,867,0.8493506493506494,0.9504273793234217
RF,1,2,869,0.6805194805194805,0.9163753720808189
RF,1,2,886,0.6038961038961038,0.5596883199026491
RF,1,2,889,0.7454545454545455,0.8119781129610154
RF,1,2,893,0.6870129870129871,0.8668164243188528
RF,1,2,904,0.6,0.7300394710794085
RF,1,2,914,0.8584415584415584,0.951678261671516
RF,1,2,926,0.6220779220779221,0.9415622431448086
RF,1,2,936,0.7051948051948052,0.5321328933985532
RF,1,2,939,0.9532467532467532,0.9224431721088564
RF,1,2,941,0.864935064935065,0.8740182271683292
RF,1,2,943,0.696103896103896,0.723353457873737
RF,1,2,946,0.7922077922077921,0.9203668523329547
RF,1,2,952,0.5675324675324676,0.8281079211215936
RF,1,2,965,0.7220779220779221,0.90284396543536
RF,1,2,988,0.7402597402597402,0.9007858177829413
RF,1,2,994,0.8688311688311688,0.936903836396589
RF,1,2,1004,0.764935064935065,0.7364433149312211
RF,1,2,1009,0.8883116883116883,0.9313707310155892
RF,1,2,1018,0.7,0.848589174287507
RF,1,2,1033,0.7038961038961039,0.8647478852229024
RF,1,2,1034,0.7571428571428571,0.857423897611305
RF,1,2,1043,0.8532467532467533,0.8623962491583952
RF,1,2,1061,0.5558441558441559,0.810304205303216
RF,1,2,1073,0.8753246753246753,0.7734274139449054
RF,1,2,1074,0.8051948051948051,0.7702459658444579
RF,1,2,1079,0.8012987012987013,0.9266991405433167
RF,1,2,1084,0.5857142857142857,0.3026139821472142
RF,1,2,1106,0.8116883116883117,0.7517987602065019
RF,1,2,1108,0.6233766233766234,0.8168136551712146
RF,1,2,1110,0.42987012987012985,0.3486916005114135
RF,1,2,1111,0.5363636363636364,0.8200479696405971
RF,1,2,1113,0.8324675324675326,0.8838405434803798
RF,1,2,1114,0.8259740259740259,0.9287201774534147
RF,1,2,1117,0.8311688311688311,0.9198923595148164
RF,1,2,1132,0.6246753246753247,0.6075658757836894
RF,1,2,1137,0.5857142857142857,0.847446973382004
RF,1,2,1138,0.6025974025974027,0.9501567196869887
RF,1,2,1140,0.3220779220779221,0.7430049954021483
RF,1,2,1142,0.774025974025974,0.8479299632490636
RF,1,2,1145,0.5168831168831168,0.6686551791999593
RF,1,2,1146,0.4285714285714285,0.9351497896968936
RF,1,2,1151,0.7233766233766233,0.8601759757681464
RF,1,2,1168,0.42207792207792205,0.8715130037143035
RF,1,2,1169,0.7324675324675325,0.9572364921058305
RF,1,2,1177,0.8675324675324675,0.7002308418662265
RF,1,2,1178,0.648051948051948,0.9049760062142997
RF,1,2,1182,0.8025974025974025,0.9045213570430053
RF,1,2,1190,0.6506493506493506,0.8222863490482607
RF,1,2,1197,0.5233766233766234,0.7650350974169141
RF,1,2,1204,0.9324675324675323,0.8805979310161295
RF,1,2,1208,0.7753246753246753,0.8990219126486496
RF,1,2,1211,0.764935064935065,0.9727967419886435
RF,1,2,1220,0.5207792207792208,0.5680511645237999
RF,1,2,1226,0.774025974025974,0.8399009812547377
RF,1,2,1235,0.7857142857142857,0.7918130603379868
RF,1,2,1240,0.7272727272727273,0.882650679299681
RF,1,2,1249,0.6883116883116883,0.9328719184415967
RF,1,2,1253,0.5948051948051949,0.5927668584822873
RF,1,2,1255,0.8480519480519481,0.933810293469172
RF,1,2,1258,0.8051948051948051,0.8937295516610001
RF,1,2,1262,0.8428571428571429,0.7532452981862865
RF,1,2,1268,0.9051948051948051,0.9192405605182834
RF,1,2,1271,0.7415584415584415,0.7353337517227064
RF,1,2,1278,0.5948051948051949,0.43935788793323666
RF,1,2,1284,0.7103896103896103,0.8664803529816034
RF,1,2,1296,0.7077922077922078,0.898880710587904
RF,1,2,1309,0.5727272727272726,0.6938682652768989
RF,1,2,1310,0.6,0.727957592089781
RF,1,2,1317,0.751948051948052,0.8818178657716462
RF,1,2,1320,0.6844155844155844,0.745597151568504
RF,1,2,1328,0.6610389610389611,0.9370087530434452
RF,1,2,1334,0.9272727272727272,0.8911408855187329
RF,1,2,1339,0.6974025974025975,0.8759405323220456
RF,1,2,1345,0.8181818181818182,0.9223620298060845
RF,1,2,1347,0.43766233766233764,0.7330900922106321
RF,1,2,1361,0.7974025974025974,0.9468512385256441
RF,1,2,1366,0.9064935064935065,0.9298810589959239
RF,1,2,1378,0.6727272727272726,0.7676913678747694
RF,1,2,1379,0.7896103896103897,0.9017938874290544
RF,1,2,1385,0.5506493506493506,0.8981125085838535
RF,1,2,1391,0.42207792207792205,0.8419472749162927
RF,1,2,1393,0.6857142857142857,0.8881583956809583
RF,1,2,1417,0.6623376623376622,0.916650898737902
RF,1,2,1421,0.648051948051948,0.9101916167701319
RF,1,2,1424,0.7116883116883117,0.6971763679469809
RF,1,2,1435,0.6662337662337662,0.8726797190584055
RF,1,2,1436,0.5064935064935064,0.8640814064200791
RF,1,2,1457,0.6376623376623376,0.9082796574346608
RF,1,2,1458,0.48571428571428565,0.44571615651983953
RF,1,2,1460,0.5779220779220778,0.8341481662855726
RF,1,2,1468,0.5389610389610389,0.7871625262422551
RF,1,2,1471,0.896103896103896,0.9669858391563818
RF,1,2,1477,0.6012987012987013,0.7164834085510409
RF,1,2,1480,0.5467532467532468,0.8451997824402884
RF,1,2,1481,0.8155844155844156,0.9041375134925087
RF,1,2,1487,0.6363636363636362,0.9102287088198845
RF,1,2,1489,0.7337662337662337,0.9630919446417989
RF,1,2,1491,0.6519480519480519,0.7189191584386299
RF,1,2,1497,0.7051948051948052,0.892232419633976
RF,1,2,1501,0.7935064935064934,0.9343262806934901
RF,1,2,1505,0.8155844155844156,0.9330252948490775
RF,1,2,1519,0.7441558441558441,0.8395847377309322
RF,1,2,1527,0.9194805194805193,0.8255189224520384
RF,1,2,1530,0.7389610389610389,0.9405045094167341
RF,1,2,1531,0.8129870129870129,0.9561183770865731
RF,1,2,1539,0.8233766233766234,0.8168472568823417
RF,1,2,1540,0.7038961038961039,0.8907911385500878
RF,1,2,1543,0.5922077922077922,0.7824404970114169
RF,1,2,1544,0.7389610389610389,0.9280318715628373
RF,1,2,1552,0.9077922077922078,0.9222741641090312
RF,1,2,1555,0.8662337662337661,0.8875135607274108
RF,1,2,1556,0.5662337662337662,0.48939760364359647
RF,1,2,1561,0.8064935064935065,0.9317867780914679
RF,1,2,1565,0.7064935064935066,0.9477937029071963
RF,1,2,1573,0.648051948051948,0.8462303872339414
RF,1,2,1587,0.48441558441558447,0.8424229795458144
RF,1,2,1588,0.7428571428571429,0.8987315403507388
RF,1,2,1593,0.47792207792207797,0.666906182253294
RF,1,2,1600,0.7467532467532467,0.8921948793237584
RF,1,2,1610,0.8103896103896104,0.7043497653025665
RF,1,2,1611,0.916883116883117,0.8050377371501553
RF,1,2,1618,0.890909090909091,0.9301029738637338
RF,1,2,1619,0.6194805194805195,0.8761454432866359
RF,1,2,1627,0.864935064935065,0.9745837200987669
RF,1,2,1641,0.8207792207792207,0.5210227042430855
RF,1,2,1642,0.6818181818181818,0.8647709338942944
