Feature_1,Feature_2,Pearson_r,Absolute_r
e,t,0.9999999999997558,0.9999999999997558
v,b,0.9996230420066715,0.9996230420066715
n,total_Op,0.995373372740939,0.995373372740939
n,total_Opnd,0.9893138956380706,0.9893138956380706
n,v,0.9849236083269532,0.9849236083269532
n,b,0.9844929851928717,0.9844929851928717
v,total_Op,0.9821075082685281,0.9821075082685281
b,total_Op,0.9816902031986284,0.9816902031986284
v(g),branchCount,0.9816095029083789,0.9816095029083789
v,total_Opnd,0.9719184725536496,0.9719184725536496
b,total_Opnd,0.9714822562051754,0.9714822562051754
total_Op,total_Opnd,0.9709455424724692,0.9709455424724692
v,lOCode,0.9638234163448808,0.9638234163448808
b,lOCode,0.9634543110334589,0.9634543110334589
n,lOCode,0.9427607820928939,0.9427607820928939
lOCode,total_Op,0.9410726123346047,0.9410726123346047
lOCode,total_Opnd,0.9293489594021555,0.9293489594021555
loc,lOCode,0.9222654789043742,0.9222654789043742
loc,v,0.9010914205963917,0.9010914205963917
loc,b,0.9006769545961758,0.9006769545961758
iv(g),branchCount,0.8911055134875323,0.8911055134875323
loc,n,0.8772724346624662,0.8772724346624662
loc,total_Op,0.8771727376490112,0.8771727376490112
v(g),iv(g),0.8674739094333604,0.8674739094333604
loc,total_Opnd,0.8624334829306256,0.8624334829306256
uniq_Opnd,total_Opnd,0.8598075423028746,0.8598075423028746
v,uniq_Opnd,0.8553200283157091,0.8553200283157091
b,uniq_Opnd,0.8548242698105598,0.8548242698105598
lOCode,uniq_Opnd,0.8403645366769612,0.8403645366769612
n,uniq_Opnd,0.8398431564424202,0.8398431564424202
loc,branchCount,0.8298639190022691,0.8298639190022691
e,lOCode,0.8287636911273979,0.8287636911273979
t,lOCode,0.8287636869183297,0.8287636869183297
loc,v(g),0.8278826137435796,0.8278826137435796
lOCode,lOBlank,0.8198706981448941,0.8198706981448941
d,total_Op,0.8194140265970885,0.8194140265970885
uniq_Opnd,total_Op,0.8170308141130062,0.8170308141130062
v,lOBlank,0.8140989251601423,0.8140989251601423
b,lOBlank,0.813784669106051,0.813784669106051
loc,lOBlank,0.8128447666233338,0.8128447666233338
loc,iv(g),0.8126702351957117,0.8126702351957117
n,d,0.8082813237048946,0.8082813237048946
n,lOBlank,0.8073248523430732,0.8073248523430732
lOBlank,total_Op,0.8053294348586648,0.8053294348586648
v,e,0.8044541047526909,0.8044541047526909
v,t,0.8044541002663216,0.8044541002663216
b,t,0.804308734448886,0.804308734448886
e,b,0.8043087202618873,0.8043087202618873
ev(g),branchCount,0.8004564300424675,0.8004564300424675
