,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount
loc,1.0,0.8278826137435796,0.5218961881228024,0.8126702351957117,0.8772724346624662,0.9010914205963917,-0.2857139164618886,0.6744657468604782,0.47685035652880253,0.7761310561441246,0.9006769545961758,0.7761310507108696,0.9222654789043742,0.59547005967354,0.8128447666233338,0.271444922266408,0.5217307937696528,0.7584345615006971,0.8771727376490112,0.8624334829306256,0.8298639190022691
v(g),0.8278826137435796,1.0,0.7441956799395114,0.8674739094333604,0.7340076888408462,0.7599379972515347,-0.2663184687614786,0.6501901843521207,0.28573718981584045,0.7048759376474035,0.7596259390408858,0.7048759341512866,0.7989035658515334,0.38769842919039266,0.5682730892981906,0.21590099185162667,0.5934226420912875,0.6621881764734691,0.7490045261856806,0.6988614154162017,0.9816095029083789
ev(g),0.5218961881228024,0.7441956799395114,1.0,0.7145344199545705,0.4733286322018687,0.45944963941286115,-0.2481373002531249,0.43731522792147415,0.1927583377058768,0.35465437547150985,0.45918114994911563,0.35465437229162455,0.46297197087816416,0.2894214557618952,0.33137235890866273,0.18532762732510588,0.2739264719028921,0.3420982930165467,0.4894062850233541,0.44045095879636886,0.8004564300424675
iv(g),0.8126702351957117,0.8674739094333604,0.7145344199545705,1.0,0.7151238489171149,0.7491425814134947,-0.2107765204137876,0.5491080234760397,0.30984256534518323,0.733505058162069,0.7488955396044478,0.7335050554816959,0.7888152342980231,0.36064412441113397,0.5951417493910179,0.22023163224180747,0.41128747200543675,0.5768064326296928,0.7320694861791754,0.6772554385585653,0.8911055134875323
n,0.8772724346624662,0.7340076888408462,0.4733286322018687,0.7151238489171149,1.0,0.9849236083269532,-0.2400837035326159,0.8082813237048946,0.6423103344880033,0.7279090561848729,0.9844929851928717,0.7279090499551906,0.9427607820928939,0.5697913885367365,0.8073248523430732,0.28034873381494674,0.6130190841921296,0.8398431564424202,0.995373372740939,0.9893138956380706,0.7443633176144613
v,0.9010914205963917,0.7599379972515347,0.45944963941286115,0.7491425814134947,0.9849236083269532,1.0,-0.20232684935466944,0.7496541371604549,0.5953928402589435,0.8044541047526909,0.9996230420066715,0.8044541002663216,0.9638234163448808,0.5478934286602659,0.8140989251601423,0.26611676264954376,0.6021844240937178,0.8553200283157091,0.9821075082685281,0.9719184725536496,0.7597606520032861
l,-0.2857139164618886,-0.2663184687614786,-0.2481373002531249,-0.2107765204137876,-0.2400837035326159,-0.20232684935466944,1.0,-0.3424838183119206,-0.07651423095483195,-0.070996683029294,-0.1977097248331843,-0.07099656667066678,-0.20993403239563188,-0.17091426003509433,-0.19659796869464127,-0.10022669999099576,-0.27931540176817954,-0.2030986179975303,-0.23677357535552399,-0.24065688937060836,-0.2847071681204555
d,0.6744657468604782,0.6501901843521207,0.43731522792147415,0.5491080234760397,0.8082813237048946,0.7496541371604549,-0.3424838183119206,1.0,0.3667224361291371,0.5764638831106726,0.749154941177775,0.5764638725454797,0.7547613475684938,0.5103497740861792,0.6376103198632082,0.2499468297935807,0.7332893909538889,0.6038924921786405,0.8194140265970885,0.7769750961709988,0.6550265776882662
i,0.47685035652880253,0.28573718981584045,0.1927583377058768,0.30984256534518323,0.6423103344880033,0.5953928402589435,-0.07651423095483195,0.3667224361291371,1.0,0.21394325218386065,0.5948294578449904,0.21394324286931687,0.5462606754766874,0.38000334476019154,0.5521289006577681,0.20121200282816,0.37370022114902546,0.7323098467563465,0.6084889938613107,0.6819577801665732,0.2994015858494749
e,0.7761310561441246,0.7048759376474035,0.35465437547150985,0.733505058162069,0.7279090561848729,0.8044541047526909,-0.070996683029294,0.5764638831106726,0.21394325218386065,1.0,0.8043087202618873,0.9999999999997558,0.8287636911273979,0.37031409169668356,0.6705322039280837,0.16106018075759507,0.436309486392624,0.5632161898248216,0.7510749467197525,0.679891909466089,0.6863376351838265
