model,fold,accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
RF,1,0.7744107744107744,0.4968152866242038,0.19451371571072318,0.942795076031861,0.27956989247311825,0.6804025417990145,0.3869829117588032,1302,79,323,78
RF,2,0.7744107744107744,0.4971751412429379,0.2194513715710723,0.9355539464156408,0.3044982698961938,0.6825577258880315,0.4024443620324395,1292,89,313,88
RF,3,0.7721661054994389,0.48633879781420764,0.22194513715710723,0.9319333816075308,0.3047945205479452,0.6705981245293717,0.3852964985234486,1287,94,312,89
RF,4,0.7709152161706906,0.47297297297297297,0.175,0.943519188993483,0.25547445255474455,0.6722845763939175,0.39040026299455055,1303,78,330,70
RF,5,0.7669848399775407,0.4573170731707317,0.18703241895261846,0.9355072463768116,0.26548672566371684,0.679136398135097,0.38979434265066687,1291,89,326,75
XGB,1,0.7676767676767676,0.46919431279620855,0.24688279301745636,0.9188993482983345,0.3235294117647059,0.6380004008804924,0.37693627028614757,1269,112,302,99
XGB,2,0.7542087542087542,0.4251012145748988,0.26184538653366585,0.8971759594496741,0.32407407407407407,0.6512818244035098,0.3786622973540762,1239,142,296,105
XGB,3,0.7631874298540965,0.4533333333333333,0.2543640897755611,0.9109341057204924,0.3258785942492013,0.6461660837045691,0.36518091523133045,1258,123,299,102
XGB,4,0.772599663110612,0.4883720930232558,0.2625,0.9203475742215785,0.34146341463414637,0.6516971397538016,0.40788975047854464,1271,110,295,105
XGB,5,0.7591240875912408,0.4351851851851852,0.2344139650872818,0.9115942028985508,0.3047001620745543,0.6489112364017493,0.37257600801376256,1258,122,307,94
LGBM,1,0.7789001122334456,0.5209580838323353,0.2169576059850374,0.942070963070239,0.30633802816901406,0.6743279383005194,0.39996998505555803,1301,80,314,87
LGBM,2,0.7721661054994389,0.4861878453038674,0.2194513715710723,0.9326574945691528,0.3024054982817869,0.6693711051841793,0.39053076515288165,1288,93,313,88
LGBM,3,0.7699214365881033,0.47540983606557374,0.2169576059850374,0.9304851556842868,0.2979452054794521,0.6813316094268311,0.39769500599502106,1285,96,314,87
LGBM,4,0.7804604154969118,0.5290322580645161,0.205,0.9471397538015931,0.2954954954954955,0.6644388124547429,0.4023805775675318,1308,73,318,82
LGBM,5,0.7770915216170691,0.5119047619047619,0.2144638403990025,0.9405797101449276,0.3022847100175747,0.6782825544833568,0.398535573948857,1298,82,315,86
MLP,1,0.7878787878787878,0.5877862595419847,0.19201995012468828,0.9608979000724113,0.2894736842105263,0.7209790512856165,0.4413351648037872,1327,54,324,77
MLP,2,0.7878787878787878,0.5864661654135338,0.19451371571072318,0.9601737871107893,0.29213483146067415,0.6965388845048855,0.4249516225382572,1326,55,323,78
MLP,3,0.7934904601571269,0.5932203389830508,0.26184538653366585,0.9478638667632151,0.3633217993079585,0.6840863084865678,0.43920034857449924,1309,72,296,105
MLP,4,0.7860752386299832,0.5922330097087378,0.1525,0.9695872556118754,0.24254473161033796,0.6783381607530775,0.4143466323351283,1339,42,339,61
MLP,5,0.7871982032565974,0.5753424657534246,0.20947630922693267,0.9550724637681159,0.3071297989031079,0.7038391340489356,0.4275448977869067,1318,62,317,84
