model,fold,accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
RF,1,0.7833099579242637,0.5476190476190477,0.21495327102803738,0.9484162895927601,0.3087248322147651,0.24040740881933265,0.6930801652077079,0.42422606798229,1048,57,252,69
RF,2,0.7824561403508772,0.5384615384615384,0.21875,0.9457013574660633,0.3111111111111111,0.2383345645035043,0.6740526018099546,0.40871382986057614,1045,60,250,70
RF,3,0.7663157894736842,0.4585987261146497,0.225,0.9230769230769231,0.3018867924528302,0.19734860313234992,0.6671295248868778,0.39541119874529207,1020,85,248,72
RF,4,0.7691228070175439,0.4701492537313433,0.19626168224299065,0.9356884057971014,0.27692307692307694,0.18885618694037515,0.6768180843378934,0.39187654567551844,1033,71,258,63
RF,5,0.7712280701754386,0.4793388429752066,0.1806853582554517,0.9429347826086957,0.26244343891402716,0.18526560806063141,0.6709557993588875,0.39623703444599534,1041,63,263,58
XGB,1,0.7713884992987378,0.4858757062146893,0.26791277258566976,0.9176470588235294,0.3453815261044177,0.23504432620894186,0.6630819977164122,0.40461906940584935,1014,91,235,86
XGB,2,0.7614035087719299,0.4425287356321839,0.240625,0.9122171945701357,0.3117408906882591,0.19480321226104497,0.6486920248868778,0.3735118046284534,1008,97,243,77
XGB,3,0.7487719298245614,0.4020618556701031,0.24375,0.8950226244343892,0.3035019455252918,0.16886126499038917,0.6556631787330317,0.3707201886899235,989,116,242,78
XGB,4,0.7452631578947368,0.3894736842105263,0.23052959501557632,0.894927536231884,0.2896281800391389,0.15417790006333545,0.6548842498532665,0.37824926641002443,988,116,247,74
XGB,5,0.7698245614035087,0.47928994082840237,0.2523364485981308,0.9202898550724637,0.3306122448979592,0.22305186162160892,0.6461521964874261,0.40335599111928766,1016,88,240,81
LGBM,1,0.7854137447405329,0.5524475524475524,0.24610591900311526,0.9420814479638009,0.34051724137931033,0.2616632758321578,0.6799664509944884,0.42963508687442864,1041,64,242,79
LGBM,2,0.776140350877193,0.5035971223021583,0.21875,0.9375565610859729,0.30501089324618735,0.2198393604728545,0.6627870475113122,0.39157693489353096,1036,69,250,70
LGBM,3,0.7747368421052632,0.49645390070921985,0.21875,0.9357466063348416,0.3036876355748373,0.21591509424003794,0.6628676470588235,0.37428502774533157,1034,71,250,70
LGBM,4,0.767719298245614,0.4652777777777778,0.2087227414330218,0.9302536231884058,0.28817204301075267,0.19262923020405526,0.6781499729107409,0.38384662603577424,1027,77,254,67
LGBM,5,0.7810526315789473,0.5333333333333333,0.22429906542056074,0.9429347826086957,0.3157894736842105,0.2385610273844,0.6669333265610187,0.4081458793517143,1041,63,249,72
MLP,1,0.7931276297335204,0.6444444444444445,0.1806853582554517,0.9710407239819004,0.2822384428223844,0.26059700213236225,0.687944911969101,0.4446258001380111,1073,32,263,58
MLP,2,0.7852631578947369,0.5625,0.196875,0.9556561085972851,0.2916666666666667,0.23652289198728524,0.6946436651583711,0.43091760284858427,1056,49,257,63
MLP,3,0.7726315789473684,0.48333333333333334,0.18125,0.9438914027149321,0.2636363636363636,0.1880447738546512,0.6527319004524886,0.3681058470434601,1043,62,262,58
MLP,4,0.7894736842105263,0.5929203539823009,0.2087227414330218,0.9583333333333334,0.3087557603686636,0.2582814324809965,0.69617279561154,0.4276038025692984,1058,46,254,67
MLP,5,0.7894736842105263,0.6206896551724138,0.16822429906542055,0.970108695652174,0.2647058823529412,0.24136547511972248,0.6919908912366246,0.42760042822948974,1071,33,267,54
