model,fold,accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,train_samples_before_smote,train_nondefective_before_smote,train_defective_before_smote,train_samples_after_smote,train_nondefective_after_smote,train_defective_after_smote,validation_samples,validation_nondefective,validation_defective,true_negative,false_positive,false_negative,true_positive
RF,1,0.758765778401122,0.4538152610441767,0.35202492211838005,0.8769230769230769,0.39649122807017545,0.2518735727100116,0.695682327567979,0.4191107251102644,5700,4418,1282,8836,4418,4418,1426,1105,321,969,136,208,113
RF,2,0.7621052631578947,0.46122448979591835,0.353125,0.8805429864253393,0.4,0.2584230801178129,0.6850155542986425,0.40385548308685126,5701,4418,1283,8836,4418,4418,1425,1105,320,973,132,207,113
RF,3,0.7305263157894737,0.3896551724137931,0.353125,0.8398190045248869,0.3704918032786885,0.19998180616555233,0.6718863122171946,0.38655312864609837,5701,4418,1283,8836,4418,4418,1425,1105,320,928,177,207,113
RF,4,0.7614035087719299,0.4652014652014652,0.3956386292834891,0.8677536231884058,0.4276094276094276,0.2795969864129921,0.6870569777416587,0.404672349232471,5701,4419,1282,8838,4419,4419,1425,1104,321,958,146,194,127
RF,5,0.7557894736842106,0.4444444444444444,0.3364485981308411,0.8777173913043478,0.3829787234042553,0.23788972364310934,0.6767588265835929,0.40613871419861697,5701,4419,1282,8838,4419,4419,1425,1104,321,969,135,213,108
XGB,1,0.7671809256661991,0.47555555555555556,0.3333333333333333,0.893212669683258,0.39194139194139194,0.2595537433224491,0.6745055750553277,0.42691424369648123,5700,4418,1282,8836,4418,4418,1426,1105,321,987,118,214,107
XGB,2,0.7578947368421053,0.44019138755980863,0.2875,0.8941176470588236,0.34782608695652173,0.21422701799876157,0.6648981900452489,0.39099287882852046,5701,4418,1283,8836,4418,4418,1425,1105,320,988,117,228,92
XGB,3,0.7417543859649123,0.3938053097345133,0.278125,0.8760180995475113,0.326007326007326,0.17608258475076255,0.6515808823529411,0.38566083425932973,5701,4418,1283,8836,4418,4418,1425,1105,320,968,137,231,89
XGB,4,0.752280701754386,0.42592592592592593,0.2866043613707165,0.8876811594202898,0.3426443202979516,0.2030291214739824,0.6518254210122353,0.39005482502803024,5701,4419,1282,8838,4419,4419,1425,1104,321,980,124,229,92
XGB,5,0.7585964912280702,0.4479638009049774,0.308411214953271,0.8894927536231884,0.36531365313653136,0.22839267746705172,0.6610188383222719,0.4018887807336774,5701,4419,1282,8838,4419,4419,1425,1104,321,982,122,222,99
LGBM,1,0.7798036465638148,0.5191256830601093,0.29595015576323985,0.9203619909502262,0.376984126984127,0.2701179551532931,0.6786583217039512,0.4226369269344412,5700,4418,1282,8836,4418,4418,1426,1105,321,1017,88,226,95
LGBM,2,0.7740350877192983,0.49444444444444446,0.278125,0.9176470588235294,0.356,0.2459155027701929,0.6823670814479639,0.4114967586423025,5701,4418,1283,8836,4418,4418,1425,1105,320,1014,91,231,89
LGBM,3,0.7642105263157895,0.46078431372549017,0.29375,0.9004524886877828,0.35877862595419846,0.23138649287902352,0.6750169683257918,0.40864138673659056,5701,4418,1283,8836,4418,4418,1425,1105,320,995,110,226,94
LGBM,4,0.7789473684210526,0.515,0.32087227414330216,0.9121376811594203,0.39539347408829173,0.2802389436667181,0.6841716894667931,0.41795995682449044,5701,4419,1282,8838,4419,4419,1425,1104,321,1007,97,218,103
LGBM,5,0.7592982456140351,0.44148936170212766,0.2585669781931464,0.904891304347826,0.32612966601178783,0.20178097208108428,0.681672987493792,0.42138073139177873,5701,4419,1282,8838,4419,4419,1425,1104,321,999,105,238,83
MLP,1,0.6886395511921458,0.35251798561151076,0.45794392523364486,0.755656108597285,0.3983739837398374,0.19611976390151697,0.6078671008302674,0.3900390338545958,5700,4418,1282,8836,4418,4418,1426,1105,321,835,270,174,147
MLP,2,0.7003508771929825,0.36855036855036855,0.46875,0.7674208144796381,0.4126547455295736,0.21817815350911918,0.6435237556561085,0.39783524015138066,5701,4418,1283,8836,4418,4418,1425,1105,320,848,257,170,150
MLP,3,0.6926315789473684,0.3439153439153439,0.40625,0.7755656108597285,0.37249283667621774,0.17185732864867134,0.6379015837104073,0.37635798446452695,5701,4418,1283,8836,4418,4418,1425,1105,320,857,248,190,130
MLP,4,0.6870175438596491,0.35891647855530473,0.4953271028037383,0.7427536231884058,0.4162303664921466,0.21488380427156809,0.6389693101268681,0.37414293716065444,5701,4419,1282,8838,4419,4419,1425,1104,321,820,284,162,159
MLP,5,0.6771929824561403,0.3333333333333333,0.43302180685358255,0.7481884057971014,0.37669376693766937,0.16638778079958294,0.621903076888347,0.3676426441250092,5701,4419,1282,8838,4419,4419,1425,1104,321,826,278,182,139
