model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_mcc,split1_test_mcc,split2_test_mcc,split3_test_mcc,split4_test_mcc,mean_test_mcc,std_test_mcc,rank_test_mcc,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_pr_auc,split1_test_pr_auc,split2_test_pr_auc,split3_test_pr_auc,split4_test_pr_auc,mean_test_pr_auc,std_test_pr_auc,rank_test_pr_auc,param_model__colsample_bytree,param_model__learning_rate,param_model__subsample,param_model__min_child_samples,param_model__num_leaves,param_model__activation,param_model__alpha,param_model__hidden_layer_sizes,param_model__learning_rate_init
RF,2.7933674335479735,0.8118829094107074,5.612725114822387,0.7126989210284155,,sqrt,1.0,2.0,200.0,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.4049733570159858,0.3992932862190813,0.35737704918032787,0.4083044982698962,0.36524822695035464,0.3870392835271292,0.021348064198473935,71,0.2662553938281382,0.25700740405574046,0.18327390883841932,0.26261379930895,0.21555729573479737,0.23694156035320907,0.0324299440698689,71,0.6900114179388507,0.6918099547511312,0.6719697398190045,0.6858647681610908,0.6775051921079958,0.6834322145556146,0.007561847488108651,70,0.4153677248688776,0.4032791507154028,0.3862225274410445,0.4036476686405627,0.4108870623655026,0.403880826806278,0.009932452639028016,71,,,,,,,,,
RF,5.537832021713257,1.1545268105717803,3.0931912422180177,1.32686483433813,,sqrt,1.0,2.0,300.0,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.41207815275310833,0.3915343915343915,0.35947712418300654,0.410958904109589,0.375886524822695,0.38998701948055803,0.020297340392750614,69,0.2752014646464253,0.24671261506099515,0.1851014431229492,0.2630780061588682,0.22895675247978456,0.2398100562938045,0.03147195943184122,69,0.6928475775644549,0.68820842760181,0.6730627828054299,0.6867860851505712,0.6791319585534336,0.6840073663351399,0.007029552450578598,68,0.4197153521275564,0.40301069925132094,0.38696963981083776,0.40397617377492245,0.41333807100199826,0.40540198719332726,0.011093750257808455,67,,,,,,,,,
RF,8.112388563156127,0.2515443880275611,0.7614597320556641,0.15313075368473428,,sqrt,1.0,2.0,500.0,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 500}",0.4154929577464789,0.39436619718309857,0.3583061889250814,0.42662116040955633,0.3858407079646018,0.3961254424457634,0.023850602118833268,67,0.27685874620810313,0.24975875451626928,0.18276734324430344,0.2819512755730893,0.24095694619020752,0.24645861314639453,0.035444701466943895,67,0.6943629213007992,0.6847468891402715,0.6715738122171946,0.6867395254864779,0.6788497787710506,0.6832545853831589,0.007663024049696528,71,0.420546166164749,0.40152792589765185,0.38693648877149456,0.40411430872619486,0.4136617159345876,0.4053573210989356,0.011447273902740219,69,,,,,,,,,
RF,2.926299285888672,0.751576067180251,5.52459750175476,0.7261841821273399,,sqrt,1.0,5.0,200.0,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.41975308641975306,0.4131944444444444,0.36333333333333334,0.4241379310344828,0.3892857142857143,0.40194090190354564,0.022747845452899783,61,0.28274772874739224,0.26945939333676333,0.19520579560324142,0.28163922700950367,0.24801465809391673,0.25541336055816344,0.03259431382373607,57,0.696707122820372,0.6883540723981901,0.676210407239819,0.6952162061492618,0.6800800826222403,0.6873135782459767,0.008091683395441486,59,0.43002930836066056,0.41002605020750865,0.3980613909205094,0.4182096234197051,0.4227018147252968,0.41580563752673605,0.010990096790497686,59,,,,,,,,,
RF,3.5035316944122314,1.9348897744473397,5.065973472595215,1.9139035247879663,,sqrt,1.0,5.0,300.0,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 300}",0.42328042328042326,0.4097222222222222,0.3627287853577371,0.42589437819420783,0.3872113676731794,0.4017674353455539,0.023849913854415813,63,0.287191762135032,0.2650788145277406,0.1939941571051163,0.28057102542771556,0.24376154804336128,0.2541194614477932,0.03357352624332227,59,0.6973132603149095,0.6882466063348417,0.6762089932126697,0.6930829269944467,0.681970687164206,0.6873644948042148,0.00756300071757126,57,0.43373142151067123,0.4113052208323147,0.3999697763507871,0.41600930548643184,0.4221826927247334,0.41663968338098767,0.011221337997290703,57,,,,,,,,,
RF,7.682451677322388,0.2740674114922935,0.9229470252990722,0.1710334790244204,,sqrt,1.0,5.0,500.0,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 500}",0.4288224956063269,0.4125874125874126,0.3712374581939799,0.42214532871972316,0.3835125448028674,0.40366104798206204,0.022412935644902876,57,0.29313940437545244,0.2706775763942976,0.2061294232717538,0.2800901125269461,0.24185916169391927,0.25837913565247383,0.031092881586231264,33,0.6990936130023541,0.6917307692307691,0.6775339366515838,0.6920642579800442,0.6847981285836833,0.6890441410896869,0.007319076320567106,53,0.43728585118316293,0.41347086551245094,0.3995447438998789,0.4143395985091235,0.424173670941534,0.4177629460092301,0.012524259433455729,49,,,,,,,,,
RF,4.838606595993042,0.38390671697672935,3.2484540939331055,0.43665586966411213,,sqrt,2.0,2.0,200.0,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.43356643356643354,0.42735042735042733,0.3790849673202614,0.41638225255972694,0.3880070546737213,0.40887822709411414,0.021588350031773215,32,0.2975944483602999,0.2830674540708555,0.2100993476988648,0.26899896842635646,0.2426212096846119,0.26047628564819775,0.031039956927729352,22,0.6994530666328357,0.6944824660633484,0.6877700791855204,0.6946913517540295,0.6842718632895392,0.6921337653850547,0.005412597813882529,43,0.4529346273598588,0.41837177662847025,0.4051732485217625,0.41436634122616345,0.4313194533541069,0.4244330894180724,0.016545573888810707,42,,,,,,,,,
RF,6.750008487701416,0.44478038505312784,1.171202802658081,0.445087089098777,,sqrt,2.0,2.0,300.0,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.4245614035087719,0.43270868824531517,0.3782894736842105,0.41367521367521365,0.39649122807017545,0.4091452014367373,0.019624562083696447,29,0.28725602684041357,0.288932549262428,0.21075476300644183,0.2660421004969374,0.2517439522825266,0.2609458783777495,0.028654049086649855,17,0.7015872344624406,0.6961623303167421,0.6843552036199095,0.6971350286694659,0.6854330330940448,0.6929345660325206,0.006823627707179888,32,0.454223162912078,0.420860824978991,0.4035886640454577,0.41704560058221274,0.4318295289845693,0.4255095563006618,0.016959882227950272,34,,,,,,,,,
RF,6.419268226623535,1.3552750632531876,4.112851905822754,1.0818031614010202,,sqrt,2.0,2.0,500.0,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 500}",0.4236111111111111,0.41638225255972694,0.38235294117647056,0.41796200345423146,0.39015817223198596,0.4060932961067052,0.016559802575140524,41,0.2830463721053971,0.2687396932148465,0.21426566512818407,0.2743213464073634,0.24428063802587988,0.25693074297633417,0.024916839692400654,49,0.7013504179529468,0.6952573529411765,0.6839253393665159,0.6962955438168766,0.6862005621021264,0.6926058432359284,0.006534382218779641,35,0.4502222497008083,0.41529248813883346,0.4050769355214848,0.4165362640359615,0.4318553091458426,0.4237966493085861,0.015739860166094792,45,,,,,,,,,
RF,1.984466028213501,0.19590979773557163,7.198713588714599,0.18601850727967403,,sqrt,2.0,5.0,200.0,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.4142857142857143,0.4128595600676819,0.38126009693053314,0.4166666666666667,0.39361702127659576,0.40373781184543833,0.013923346530501257,55,0.2796088837783141,0.26201372171842907,0.2100377434259225,0.274155469934382,0.2512891803880965,0.25542099984902883,0.02472330874145287,55,0.7011107821992923,0.6986962669683259,0.6828181561085973,0.6949819969298838,0.6837808704681927,0.6922776145348585,0.007592280917362895,39,0.4537951002029699,0.42133119407436403,0.40809135054569035,0.4158964050568518,0.4291703146242427,0.4256568729008238,0.015662885518975673,31,,,,,,,,,
RF,6.057455587387085,0.27868334022971714,3.996360015869141,0.23641495115826375,,sqrt,2.0,5.0,300.0,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 300}",0.42857142857142855,0.4170940170940171,0.36807817589576547,0.41580756013745707,0.39436619718309857,0.4047834757763534,0.021423096388378284,45,0.29759020302328865,0.2701007959818878,0.1952347182621652,0.2701565791020167,0.25010805220629206,0.2566380697151301,0.03421720332051769,51,0.702672643464287,0.6967420814479638,0.682350113122172,0.695097690640661,0.6849448620705223,0.6923614781491212,0.007592500220316383,37,0.45377638093075606,0.42271647501675513,0.40785813272729915,0.4168641735055299,0.43142519816345104,0.4265280720687582,0.015639296802395675,21,,,,,,,,,
RF,9.417857599258422,0.7832227222475211,2.8531837940216063,0.35990493533972717,,sqrt,2.0,5.0,500.0,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 500}",0.4227353463587922,0.4165232358003442,0.37603993344425957,0.41594454072790293,0.3916083916083916,0.40457028958793806,0.017800043935661078,49,0.28862057087385606,0.271252228148243,0.21090061220027972,0.2727508016253512,0.24455611381408338,0.2576160653323627,0.027309999772492276,43,0.703230853808094,0.6971125565610861,0.6834558823529413,0.6945954106280194,0.6860538286152873,0.6928897063930856,0.007258201999817714,33,0.45493352630250355,0.42125861394322234,0.40801624857980767,0.41584712964895854,0.43230657058662925,0.4264724178122242,0.01627748578351706,23,,,,,,,,,
RF,2.619322156906128,0.15838798666979087,6.383174085617066,0.5921810952723868,,log2,1.0,2.0,200.0,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.4049733570159858,0.3992932862190813,0.35737704918032787,0.4083044982698962,0.36524822695035464,0.3870392835271292,0.021348064198473935,71,0.2662553938281382,0.25700740405574046,0.18327390883841932,0.26261379930895,0.21555729573479737,0.23694156035320907,0.0324299440698689,71,0.6900128275609309,0.6918099547511313,0.6719697398190045,0.6858647681610907,0.6775051921079958,0.6834324964800307,0.007562092794159859,69,0.4153677248688775,0.40327915071540277,0.3862225274410445,0.40364766864056273,0.41088706236550254,0.403880826806278,0.009932452639027995,71,,,,,,,,,
