model,fold,accuracy_no_smote,precision_no_smote,recall_no_smote,specificity_no_smote,f1_no_smote,mcc_no_smote,roc_auc_no_smote,pr_auc_no_smote,accuracy_smote,precision_smote,recall_smote,specificity_smote,f1_smote,mcc_smote,roc_auc_smote,pr_auc_smote,accuracy_difference,precision_difference,recall_difference,specificity_difference,f1_difference,mcc_difference,roc_auc_difference,pr_auc_difference
RF,1,0.7833099579242637,0.5476190476190477,0.2149532710280373,0.94841628959276,0.3087248322147651,0.2404074088193326,0.6930801652077079,0.42422606798229,0.758765778401122,0.4538152610441767,0.35202492211838,0.8769230769230769,0.3964912280701754,0.2518735727100116,0.695682327567979,0.4191107251102644,-0.024544179523141696,-0.09380378657487098,0.1370716510903427,-0.07149321266968311,0.0877663958554103,0.011466163890679004,0.0026021623602711097,-0.005115342872025586
RF,2,0.7824561403508772,0.5384615384615384,0.21875,0.9457013574660632,0.3111111111111111,0.2383345645035043,0.6740526018099546,0.4087138298605761,0.7621052631578947,0.4612244897959183,0.353125,0.8805429864253393,0.4,0.2584230801178129,0.6850155542986425,0.4038554830868512,-0.020350877192982453,-0.07723704866562014,0.13437500000000002,-0.06515837104072386,0.0888888888888889,0.020088515614308605,0.010962952488687838,-0.004858346773724875
RF,3,0.7663157894736842,0.4585987261146497,0.225,0.9230769230769232,0.3018867924528302,0.1973486031323499,0.6671295248868778,0.395411198745292,0.7305263157894737,0.3896551724137931,0.353125,0.8398190045248869,0.3704918032786885,0.1999818061655523,0.6718863122171946,0.3865531286460983,-0.03578947368421048,-0.06894355370085659,0.12812500000000002,-0.08325791855203635,0.06860501082585835,0.0026332030332024137,0.004756787330316814,-0.008858070099193704
RF,4,0.7691228070175439,0.4701492537313433,0.1962616822429906,0.9356884057971014,0.2769230769230769,0.1888561869403751,0.6768180843378934,0.3918765456755184,0.7614035087719299,0.4652014652014652,0.3956386292834891,0.8677536231884058,0.4276094276094276,0.2795969864129921,0.6870569777416587,0.404672349232471,-0.007719298245614015,-0.004947788529878094,0.1993769470404985,-0.06793478260869568,0.15068635068635072,0.09074079947261698,0.010238893403765381,0.01279580355695259
RF,5,0.7712280701754386,0.4793388429752066,0.1806853582554517,0.9429347826086956,0.2624434389140271,0.1852656080606314,0.6709557993588875,0.3962370344459953,0.7557894736842106,0.4444444444444444,0.3364485981308411,0.8777173913043478,0.3829787234042553,0.2378897236431093,0.6767588265835929,0.4061387141986169,-0.01543859649122803,-0.034894398530762205,0.1557632398753894,-0.06521739130434778,0.12053528449022821,0.052624115582477926,0.005803027224705382,0.009901679752621628
XGB,1,0.7713884992987378,0.4858757062146893,0.2679127725856697,0.9176470588235294,0.3453815261044177,0.2350443262089418,0.6630819977164122,0.4046190694058493,0.7671809256661991,0.4755555555555555,0.3333333333333333,0.893212669683258,0.3919413919413919,0.2595537433224491,0.6745055750553277,0.4269142436964812,-0.004207573632538653,-0.010320150659133775,0.06542056074766361,-0.024434389140271406,0.04655986583697419,0.02450941711350732,0.011423577338915525,0.02229517429063188
XGB,2,0.7614035087719299,0.4425287356321839,0.240625,0.9122171945701356,0.3117408906882591,0.1948032122610449,0.6486920248868778,0.3735118046284534,0.7578947368421053,0.4401913875598086,0.2875,0.8941176470588236,0.3478260869565217,0.2142270179987615,0.6648981900452489,0.3909928788285204,-0.0035087719298245723,-0.002337348072375345,0.04687499999999997,-0.018099547511312042,0.036085196268262565,0.0194238057377166,0.016206165158371033,0.017481074200067004
XGB,3,0.7487719298245614,0.4020618556701031,0.24375,0.8950226244343892,0.3035019455252918,0.1688612649903891,0.6556631787330317,0.3707201886899235,0.7417543859649123,0.3938053097345133,0.278125,0.8760180995475113,0.326007326007326,0.1760825847507625,0.6515808823529411,0.3856608342593297,-0.007017543859649145,-0.008256545935589832,0.03437500000000002,-0.01900452488687787,0.02250538048203421,0.007221319760373407,-0.004082296380090611,0.014940645569406164
XGB,4,0.7452631578947368,0.3894736842105263,0.2305295950155763,0.894927536231884,0.2896281800391389,0.1541779000633354,0.6548842498532665,0.3782492664100244,0.752280701754386,0.4259259259259259,0.2866043613707165,0.8876811594202898,0.3426443202979516,0.2030291214739824,0.6518254210122353,0.3900548250280302,0.007017543859649145,0.03645224171539957,0.05607476635514019,-0.007246376811594235,0.05301614025881268,0.04885122141064699,-0.003058828841031258,0.011805558618005807
XGB,5,0.7698245614035087,0.4792899408284023,0.2523364485981308,0.9202898550724636,0.3306122448979592,0.2230518616216089,0.6461521964874261,0.4033559911192876,0.7585964912280702,0.4479638009049774,0.308411214953271,0.8894927536231884,0.3653136531365313,0.2283926774670517,0.6610188383222719,0.4018887807336774,-0.011228070175438587,-0.03132613992342492,0.05607476635514019,-0.030797101449275277,0.034701408238572096,0.005340815845442798,0.014866641834845873,-0.001467210385610207
