feature,selected_for_rf_rid,original_VIF,final_VIF
loc,False,14.921122506687222,
v(g),True,61.18842405762379,8.797534404948053
ev(g),True,4.7565287562906775,3.471801341650306
iv(g),True,7.292486754992617,5.976177694481883
n,False,9817.908368210597,
v,False,29122.67749287703,
l,True,1.4289393994997763,1.2345465524630725
d,True,13.216116081599655,3.7677721188513758
i,True,5.920538593571623,3.719501692736027
e,False,44811936590751.2,
b,False,28921.46764608551,
t,True,44811936590751.2,4.123926747315966
lOCode,False,30.173782346931546,
lOComment,True,2.1277603239333103,1.7984269108581015
lOBlank,True,4.538468776858412,3.7541221174353914
locCodeAndComment,True,1.1241041073792863,1.113926989439687
uniq_Op,True,9.356438150459397,4.671911178244691
uniq_Opnd,True,23.868735882736214,9.11552275004803
total_Op,False,3620.984954358638,
total_Opnd,False,1606.8544280491772,
branchCount,False,70.38759895360647,
