feature,VIF
t,44811936590751.2
e,44811936590751.2
v,29122.67749287703
b,28921.46764608551
n,9817.908368210597
total_Op,3620.984954358638
total_Opnd,1606.8544280491772
branchCount,70.38759895360647
v(g),61.18842405762379
lOCode,30.173782346931546
uniq_Opnd,23.868735882736214
loc,14.921122506687222
d,13.216116081599655
uniq_Op,9.356438150459397
iv(g),7.292486754992617
i,5.920538593571623
ev(g),4.7565287562906775
lOBlank,4.538468776858412
lOComment,2.1277603239333103
l,1.4289393994997763
locCodeAndComment,1.1241041073792863
