Feature,RF_Rank,RF_Mean_Absolute_SHAP,RF_RID_Rank,RF_RID_Mean_Absolute_SHAP,Rank_Change
loc,1.0,0.0379596677776911,8.0,0.006632836440174037,7.0
v(g),5.0,0.01327594965062347,1.0,0.021372759498447826,-4.0
ev(g),3.0,0.020274382194438362,2.0,0.012010608469193456,-1.0
iv(g),2.0,0.02906166075998121,12.0,1.3232175192873305e-06,10.0
n,16.0,0.004835612993140053,4.0,0.009744526240885211,-12.0
v,15.0,0.00526189216539025,3.0,0.011176609546025028,-12.0
l,13.0,0.007124414852486886,11.0,0.0003374911535391828,-2.0
d,9.0,0.00874500168056293,7.0,0.006729146038463103,-2.0
i,8.0,0.010479815084920085,6.0,0.009287728504294358,-2.0
e,17.0,0.004776348121764516,9.0,0.0010685727472015854,-8.0
b,14.0,0.0070126300587993445,10.0,0.000693998718147835,-4.0
t,18.0,0.004751645001349753,5.0,0.009644913571776735,-13.0
lOCode,11.0,0.007543099042100764,17.0,0.0,6.0
lOComment,20.0,0.0037423740624309013,17.0,0.0,-3.0
lOBlank,4.0,0.01847714991143165,17.0,0.0,13.0
locCodeAndComment,21.0,0.0025047798337577004,17.0,0.0,-4.0
uniq_Op,12.0,0.0073441439419354,17.0,0.0,5.0
uniq_Opnd,7.0,0.010779596560892137,17.0,0.0,10.0
total_Op,10.0,0.008502011274976776,17.0,0.0,7.0
total_Opnd,19.0,0.0044306385389288015,17.0,0.0,-2.0
branchCount,6.0,0.010799177711949133,17.0,0.0,11.0
