Model,Feature,Mean_Absolute_SHAP,Normalized_SHAP,Present_in_RF_RID
RF,loc,0.0379596677776911,0.16672231112511232,True
RF,v(g),0.01327594965062347,0.05830917754852918,True
RF,ev(g),0.020274382194438362,0.08904692938532852,True
RF,iv(g),0.02906166075998121,0.12764145554207393,True
RF,n,0.004835612993140053,0.02123845178636516,True
RF,v,0.00526189216539025,0.023110708656427142,True
RF,l,0.007124414852486886,0.031291077587321754,True
RF,d,0.00874500168056293,0.03840884223526587,True
RF,i,0.010479815084920085,0.04602830038856484,True
RF,e,0.004776348121764516,0.020978155084557113,True
RF,b,0.0070126300587993445,0.03080010861305734,True
RF,t,0.004751645001349753,0.020869656734369454,True
RF,lOCode,0.007543099042100764,0.03312997660331879,True
RF,lOComment,0.0037423740624309013,0.016436847035575037,True
RF,lOBlank,0.01847714991143165,0.0811533218435987,True
RF,locCodeAndComment,0.0025047798337577004,0.01100122069532662,True
RF,uniq_Op,0.0073441439419354,0.03225614771988499,True
RF,uniq_Opnd,0.010779596560892137,0.04734496787889339,True
RF,total_Op,0.008502011274976776,0.03734160628794915,True
RF,total_Opnd,0.0044306385389288015,0.01945976717436728,True
RF,branchCount,0.010799177711949133,0.04743097007411363,True
RF-RID,loc,0.006632836440174037,0.07477788042221852,True
RF-RID,v(g),0.021372759498447826,0.24095417827396806,True
RF-RID,ev(g),0.012010608469193456,0.1354063004580688,True
RF-RID,iv(g),1.3232175192873305e-06,1.4917811153994984e-05,True
RF-RID,n,0.009744526240885211,0.10985873458278211,True
RF-RID,v,0.011176609546025028,0.12600388682832592,True
RF-RID,l,0.0003374911535391828,0.003804838751948393,True
RF-RID,d,0.006729146038463103,0.07586366441362698,True
RF-RID,i,0.009287728504294358,0.10470884632124756,True
RF-RID,e,0.0010685727472015854,0.012046973543431002,True
RF-RID,b,0.000693998718147835,0.007824066464914979,True
RF-RID,t,0.009644913571776735,0.10873571212831372,True
RF-RID,lOCode,0.0,0.0,True
RF-RID,lOComment,0.0,0.0,True
RF-RID,lOBlank,0.0,0.0,True
RF-RID,locCodeAndComment,0.0,0.0,True
RF-RID,uniq_Op,0.0,0.0,True
RF-RID,uniq_Opnd,0.0,0.0,True
RF-RID,total_Op,0.0,0.0,True
RF-RID,total_Opnd,0.0,0.0,True
RF-RID,branchCount,0.0,0.0,True
