Feature,RF_Mean_Abs_SHAP,RF_RID_Mean_Abs_SHAP,RF_Rank,RF_RID_Rank,Absolute_Difference,Rank_Difference
v(g),0.01667289383106917,0.026169439699169173,4.0,4.0,0.009496545868100004,0.0
ev(g),0.028531665180043835,0.027414541208402834,2.0,3.0,0.0011171239716410014,1.0
iv(g),0.03949475388507431,0.060015598940513455,1.0,1.0,0.020520845055439142,0.0
l,0.010049166992196153,0.02314007835717613,6.0,5.0,0.013090911364979977,1.0
d,0.00883147940748037,0.01566617384128186,8.0,9.0,0.006834694433801488,1.0
i,0.009453244145175977,0.017227411087985138,7.0,7.0,0.007774166942809161,0.0
t,0.004904513706193584,0.01328173675852791,10.0,10.0,0.008377223052334326,0.0
lOComment,0.004198506702968061,0.007027561107340806,11.0,11.0,0.0028290544043727455,0.0
lOBlank,0.017143807061659945,0.030746318125695574,3.0,2.0,0.013602511064035629,1.0
locCodeAndComment,0.002075150337107003,0.0029325865412914457,12.0,12.0,0.0008574362041844428,0.0
uniq_Op,0.006477079574587563,0.01621400556123452,9.0,8.0,0.009736925986646959,1.0
uniq_Opnd,0.010248743578716458,0.01996990962631984,5.0,6.0,0.009721166047603383,1.0
