Model,Feature,Mean_Absolute_SHAP,Normalized_SHAP
RF,loc,0.0379596677776911,0.16672231112511232
RF,v(g),0.01327594965062347,0.05830917754852918
RF,ev(g),0.020274382194438362,0.08904692938532852
RF,iv(g),0.02906166075998121,0.12764145554207393
RF,n,0.004835612993140053,0.02123845178636516
RF,v,0.00526189216539025,0.023110708656427142
RF,l,0.007124414852486886,0.031291077587321754
RF,d,0.00874500168056293,0.03840884223526587
RF,i,0.010479815084920085,0.04602830038856484
RF,e,0.004776348121764516,0.020978155084557113
RF,b,0.0070126300587993445,0.03080010861305734
RF,t,0.004751645001349753,0.020869656734369454
RF,lOCode,0.007543099042100764,0.03312997660331879
RF,lOComment,0.0037423740624309013,0.016436847035575037
RF,lOBlank,0.01847714991143165,0.0811533218435987
RF,locCodeAndComment,0.0025047798337577004,0.01100122069532662
RF,uniq_Op,0.0073441439419354,0.03225614771988499
RF,uniq_Opnd,0.010779596560892137,0.04734496787889339
RF,total_Op,0.008502011274976776,0.03734160628794915
RF,total_Opnd,0.0044306385389288015,0.01945976717436728
RF,branchCount,0.010799177711949133,0.04743097007411363
XGB,loc,0.30781319737434387,0.37947006697541613
XGB,v(g),0.017723780125379562,0.021849758517845513
XGB,ev(g),0.12559029459953308,0.15482688172459536
XGB,iv(g),0.2436673790216446,0.3003915278025518
XGB,n,0.0028378022834658623,0.0034984238224853178
XGB,v,0.0009771931217983365,0.001204677195584201
XGB,l,0.009577401913702488,0.011806957520483762
XGB,d,0.023337585851550102,0.028770420962042804
XGB,i,0.011969434097409248,0.01475583892226024
XGB,e,0.001325138728134334,0.0016336222299959317
XGB,b,0.0006202850490808487,0.0007646832920951873
XGB,t,0.0009441970032639802,0.0011639997996279333
XGB,lOCode,0.003271370427682996,0.004032923753378131
XGB,lOComment,0.00032636665855534375,0.00040234265079259926
XGB,lOBlank,0.01845620758831501,0.022752690233527415
XGB,locCodeAndComment,0.0009271949529647827,0.0011430397848501731
XGB,uniq_Op,0.0018739135703071952,0.0023101482135797534
XGB,uniq_Opnd,0.007398785557597876,0.009121173734678932
XGB,total_Op,0.021463140845298767,0.026459617597757893
XGB,total_Opnd,0.0019287450704723597,0.002377744123103845
XGB,branchCount,0.009136536158621311,0.011263461143347057
LGBM,loc,0.08838084074466812,0.33922949930685703
LGBM,v(g),0.012439002294358098,0.04774424507210302
LGBM,ev(g),0.013766947910076033,0.052841258435306494
LGBM,iv(g),0.02470463301294657,0.09482304328551096
LGBM,n,0.001662982764728635,0.006382976286281378
LGBM,v,0.0026338237246425985,0.010109325684672576
LGBM,l,0.00661367463512667,0.02538506667450808
LGBM,d,0.01361754663831155,0.052267816067147865
LGBM,i,0.011067006324499603,0.042478154571213546
LGBM,e,0.009958112022151727,0.038221919217485134
LGBM,b,0.005905094750215649,0.022665346002561683
LGBM,t,0.001784992244753351,0.0068512815713493
LGBM,lOCode,0.006697307971285615,0.0257060739710162
LGBM,lOComment,0.004180489310655817,0.016045845273281078
LGBM,lOBlank,0.009167433389633876,0.03518708141370647
LGBM,locCodeAndComment,0.003304703551310781,0.012684343366991332
LGBM,uniq_Op,0.006200885938473132,0.023800672345313405
LGBM,uniq_Opnd,0.0070337251012051695,0.026997333632944064
LGBM,total_Op,0.01270656368806712,0.04877121785101079
LGBM,total_Opnd,0.00941873493030172,0.036151644492055976
LGBM,branchCount,0.009289565002794393,0.03565585547868367
MLP,loc,0.2826877756501038,0.24702254138874044
MLP,v(g),0.02433414866931995,0.02126403673806913
MLP,ev(g),0.01247132328303326,0.010897881823049092
MLP,iv(g),0.013185070001504436,0.011521578860882285
MLP,n,0.016233725332123066,0.01418560133534498
MLP,v,0.003963387487546485,0.003463347671934282
MLP,l,0.0379891917402407,0.0331962946307012
MLP,d,0.09034971743186067,0.07895076737027844
MLP,i,0.07961670555457481,0.06957188331848158
MLP,e,0.006211151856349225,0.005427523397424331
MLP,b,0.022008462812233155,0.019231770469857683
MLP,t,0.006511940436481214,0.005690363059712669
MLP,lOCode,0.20848975164648353,0.18218569298506837
MLP,lOComment,0.06591825475901167,0.057601694226198555
MLP,lOBlank,0.03933814073994039,0.034375053808890985
MLP,locCodeAndComment,0.012099907867466479,0.010573325942791213
MLP,uniq_Op,0.033869416560393245,0.029596289881518828
MLP,uniq_Opnd,0.028952840470869004,0.02530001241507244
MLP,total_Op,0.022854439050333342,0.01997101432222947
MLP,total_Opnd,0.10098984321517059,0.08824848427948895
MLP,branchCount,0.036305290150470584,0.03172484207426519
