test_index,Model_A,Model_B,Local_Spearman_rho,Local_Spearman_p_value,Local_Cosine_similarity
23,RF,XGB,0.6636363636363637,0.0010381964669403767,0.8384540805401097
23,RF,LGBM,0.6311688311688312,0.0021529486113597883,0.6535881777071314
23,RF,MLP,0.2,0.38472423043145215,0.3873358026873103
23,XGB,LGBM,0.6103896103896104,0.0032965720706862613,0.6138726466256015
23,XGB,MLP,0.24935064935064938,0.27569907970760515,0.46416893112549606
23,LGBM,MLP,0.20129870129870128,0.3815806896030638,0.7349761574825247
29,RF,XGB,0.8636363636363636,4.589679209160128e-07,0.7716331147092009
29,RF,LGBM,0.23376623376623373,0.3077875466640504,0.6452705444921811
29,RF,MLP,0.35584415584415585,0.11338490933316327,0.5904464513557296
29,XGB,LGBM,0.36883116883116884,0.09990670544494931,0.5493188336326325
29,XGB,MLP,0.2922077922077922,0.19867271696574043,0.5471592117717794
29,LGBM,MLP,0.10909090909090909,0.637844297226886,0.7089435202956702
30,RF,XGB,0.32987012987012987,0.14419837372344504,-0.14507596730969954
30,RF,LGBM,0.36233766233766235,0.10649069901450199,0.3662090563502357
30,RF,MLP,-0.14545454545454545,0.5292829389801046,0.19826369196262722
30,XGB,LGBM,0.2701298701298701,0.2363077950605595,0.45841616174392896
30,XGB,MLP,0.32597402597402597,0.14928317187962065,0.4270060083598469
30,LGBM,MLP,0.2038961038961039,0.37533722290245836,0.6397961354993124
32,RF,XGB,0.5987012987012986,0.004137339094531022,0.7578208858759808
32,RF,LGBM,0.044155844155844164,0.8492705803407119,0.319767426008733
32,RF,MLP,0.2038961038961039,0.37533722290245836,0.08642910952599021
32,XGB,LGBM,0.2025974025974026,0.37845167579960404,0.737979005559771
32,XGB,MLP,0.0974025974025974,0.6744677255097002,0.386457122249247
32,LGBM,MLP,-0.32857142857142857,0.14587956444987268,0.28052429255928346
44,RF,XGB,0.5987012987012986,0.004137339094531022,0.324682322718812
44,RF,LGBM,0.5597402597402598,0.008325815617061407,0.7538254638848471
44,RF,MLP,0.2558441558441559,0.262972942241723,0.028814265691301397
44,XGB,LGBM,0.4116883116883117,0.06369892951455675,0.3379691278706555
44,XGB,MLP,-0.00909090909090909,0.9688031519255759,0.00960436770524583
44,LGBM,MLP,-0.22077922077922077,0.3361880870952679,-0.2552492315695443
49,RF,XGB,0.6935064935064935,0.0004898974010404606,0.691780480572415
49,RF,LGBM,0.7116883116883117,0.0002967657030413711,0.8585277345620208
49,RF,MLP,0.24025974025974026,0.29415239923972397,0.4674238362609272
49,XGB,LGBM,0.5831168831168831,0.005529078966453104,0.8280617756535551
49,XGB,MLP,-0.014285714285714285,0.9509932422972027,0.6576774154013053
49,LGBM,MLP,-0.06753246753246753,0.7711624988673798,0.4929578424486499
51,RF,XGB,0.42337662337662335,0.05582289840720049,0.8032927812749242
51,RF,LGBM,0.3948051948051948,0.07652675452161194,0.8237560297458432
51,RF,MLP,0.07272727272727272,0.7540636728389067,0.23258695085862868
51,XGB,LGBM,0.2636363636363636,0.24820156437430954,0.9079818013181942
51,XGB,MLP,-0.06623376623376624,0.7754535475659063,0.23742834271373867
51,LGBM,MLP,0.14935064935064934,0.5181875885017935,0.3540574855684514
59,RF,XGB,0.39090909090909093,0.07974355165372467,0.6106524169820957
59,RF,LGBM,0.5155844155844156,0.016746441238866275,0.4408186295329087
59,RF,MLP,0.05324675324675325,0.8186916800528405,-0.015767397965572708
59,XGB,LGBM,0.3987012987012987,0.07340807742224027,0.644630552457502
59,XGB,MLP,-0.11428571428571428,0.6218181517971056,-0.24722604454782604
59,LGBM,MLP,-0.2155844155844156,0.3479675136622996,-0.3994360041167292
65,RF,XGB,0.7116883116883117,0.0002967657030413711,0.8667671271168496
65,RF,LGBM,0.5584415584415584,0.008510101872800206,0.5367530572354045
65,RF,MLP,0.251948051948052,0.27056314022623557,0.5109221175451433
65,XGB,LGBM,0.4090909090909091,0.06555816920931516,0.37445826277098765
65,XGB,MLP,0.2597402597402597,0.2555191301623943,0.5114818029609327
65,LGBM,MLP,0.00909090909090909,0.9688031519255759,0.74241229872749
67,RF,XGB,0.6597402597402597,0.0011382402645393446,0.8015356377392298
67,RF,LGBM,0.6142857142857143,0.0030502365456209725,0.8676394139736393
67,RF,MLP,0.30129870129870134,0.18441900148730597,0.5973714513895123
67,XGB,LGBM,0.5,0.02099150467016482,0.9772489786172706
67,XGB,MLP,0.4831168831168831,0.026518455375827792,0.7958012162427143
67,LGBM,MLP,0.6831168831168831,0.0006422902406314428,0.7860777264610974
69,RF,XGB,0.37142857142857144,0.09735837325949603,0.08103084045279195
69,RF,LGBM,0.34935064935064936,0.12059625789406855,0.30665475674380527
69,RF,MLP,0.29740259740259745,0.19043999754486568,0.42821941975793154
69,XGB,LGBM,0.5974025974025974,0.004240874117222793,0.7126038249409385
69,XGB,MLP,0.33766233766233766,0.1343969724884117,0.34716442087575006
69,LGBM,MLP,0.062337662337662345,0.788364072800584,0.4121537699419324
70,RF,XGB,0.748051948051948,9.650639036965712e-05,0.7369608648407014
70,RF,LGBM,0.4701298701298702,0.03150796285030202,0.676100274228418
70,RF,MLP,0.4311688311688312,0.05100136282401154,0.4574685929493054
70,XGB,LGBM,0.348051948051948,0.12207717550592732,0.7063021595446475
70,XGB,MLP,0.45454545454545453,0.03843942504383775,0.34724391925358516
70,LGBM,MLP,0.30129870129870134,0.18441900148730597,0.6029231782557537
71,RF,XGB,0.7805194805194805,2.9886010509309136e-05,0.6684165600768334
71,RF,LGBM,0.8116883116883117,7.95095668354559e-06,0.921253131412101
71,RF,MLP,0.3025974025974026,0.1824410913813027,0.5513407959200474
71,XGB,LGBM,0.5311688311688313,0.013221701602104063,0.7224663228369304
71,XGB,MLP,0.312987012987013,0.16713674816730895,0.4252050104290928
71,LGBM,MLP,0.3363636363636363,0.135996753010022,0.5283274673803903
73,RF,XGB,0.36233766233766235,0.10649069901450199,0.2668301877485699
73,RF,LGBM,0.5506493506493506,0.009687372375827964,0.47357956927371014
73,RF,MLP,0.0012987012987012987,0.9955422850919049,0.0003365039106577143
73,XGB,LGBM,0.4688311688311688,0.032044958116342656,0.7150277341330938
73,XGB,MLP,-0.007792207792207793,0.9732581834484768,-0.1541480427125975
73,LGBM,MLP,-0.12987012987012986,0.5747411951907224,-0.2024284483282939
76,RF,XGB,0.22207792207792207,0.3332805195945379,-0.3926908694884716
76,RF,LGBM,0.24285714285714283,0.28880425437585355,0.4221577876827961
76,RF,MLP,0.5272727272727272,0.014040563252064467,0.21259222158845562
76,XGB,LGBM,-0.04675324675324675,0.8405105142403159,-0.25575555757230634
76,XGB,MLP,0.1064935064935065,0.6459166351388025,-0.1600503600448575
