test_index,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount
23,-0.3391177,0.023959085,-0.10351146,-0.45705372,-0.0029160893,0.00012144875,-0.0088830795,-0.032743577,-0.011621834,-1.3785313e-05,0.0007039198,0.0006649533,-0.002215263,-0.00013458732,0.01145554,-0.00029728722,-0.0025598602,-0.0058349003,-0.03500399,0.0028434813,0.018014202
29,-0.30135578,0.0068162307,-0.10294166,-0.3051279,-0.00057151914,0.000927495,0.05957076,0.080338374,-0.0120242415,0.00364104,0.0007039198,0.0006649533,0.0015654087,-0.00013458732,-0.024635576,-0.00029728722,-0.0025598602,-0.0060063824,0.08211344,0.0014504065,-0.0032693744
30,-0.21243605,0.011752676,-0.104212575,-0.21107507,-0.0011438819,-0.00070116814,0.003996437,-0.005488655,-0.010596684,0.00073379313,-0.00033552924,0.0006649533,-0.0009681056,-0.00013458732,0.013958779,-0.00029728722,-0.0025598602,-0.0058349003,-0.009826529,0.00018107111,-0.007813572
32,-0.38531944,-0.024439491,0.052575905,0.08056642,-0.0009833868,-0.00075746624,-0.0020141355,-0.0070998203,-0.0030944818,0.00073379313,-0.0003355292,0.0006649533,-0.0009885605,0.00010971639,0.010838768,-0.00029728722,0.0001082694,-0.003462323,-0.008568672,0.0005449347,-0.0007265272
44,-0.187892,-0.028533554,-0.13087742,-0.1732769,-0.002288011,-0.0022892393,-0.004176581,-0.012582312,-0.014725802,-4.4935812e-05,-0.00033552924,0.00030545206,-0.0021734724,-0.00013458732,-0.047746472,0.00096059573,-0.0025598602,-0.007966412,-0.017319579,0.00050238025,-0.004545586
49,0.70143557,0.0025454224,0.09049914,0.1720963,-0.00062596577,0.001098378,-0.0047662226,-0.039521135,-0.0011589441,-0.005343984,-0.0006365916,-0.00798681,-0.0037483282,-0.000109164845,0.012792128,-0.004591073,0.0008891388,-0.009531962,-0.0046211444,-0.010775631,0.0074722636
51,-0.40310723,-0.012907487,0.062279023,0.109706834,-0.001228265,-0.0015633906,-0.0038470025,-0.011956804,-0.003445399,0.00013730205,-0.0006365916,0.00033009902,-0.0026949795,-9.808016e-06,-0.030228037,-0.00034076118,0.00024171798,-0.0023663766,-0.012292331,0.00061942614,-0.0014394182
59,-0.21237785,-0.0059057414,-0.11093444,-0.5139046,-0.0029160893,-0.00070116814,-0.0088830795,-0.03338111,-0.008558916,-1.3785313e-05,-0.00033552924,0.0006649533,-0.0009681056,-0.00013458732,0.033194795,-0.00037507687,0.00061116624,-0.00755719,-0.031151082,0.00021506162,0.0038173627
65,-0.35685304,0.013128186,-0.11101873,-0.4668453,-0.004060218,0.000927495,-0.010130085,-0.033048168,-0.013018829,-1.3785313e-05,0.0007039198,0.0006649533,0.0015654087,-0.00013458732,-0.037690468,-0.00029728722,-0.0025598602,-0.0060063824,-0.042523988,0.0014504065,-0.00010589833
67,0.73905265,0.003904502,0.078728616,0.17422143,-0.00062596577,-0.0011406065,-0.0043966835,7.579989e-05,-4.359818e-05,0.0026063481,-0.0006365916,0.0018235422,-0.0036092761,-5.1101706e-05,0.00741879,-0.0026235245,0.0008891388,0.014374886,-0.0046211444,0.0007487098,0.008317461
69,-0.22607721,-0.032546893,-0.11305771,-0.21446154,-0.0011438819,-0.00070116814,0.003996437,-0.0055014356,-0.008558916,0.00073379313,-0.00033552924,0.0006649533,-0.0009681056,-0.00013458732,0.0017607779,-0.00029728722,0.00061116624,-0.0074631525,-0.009826529,0.00018107111,-0.022803858
70,0.45604166,-0.029662102,-0.27910313,0.06831768,-0.00078646094,-0.0012963092,-0.020688478,-0.006356746,0.01679849,-0.004019103,-0.0006365916,-0.0019839606,-0.0021212958,-0.0022191433,-0.016452707,-0.0015824779,0.006755036,0.0009951344,-0.0065441807,-0.011139495,-0.013085303
71,-0.39039198,-0.027526213,0.003873468,-0.29655626,0.0032569799,0.00035500794,-0.004308264,0.024409564,-0.008235739,0.0014707489,0.0007039198,0.0006649533,0.009761702,0.00010971639,-0.014022756,-0.00029728722,-0.0008620957,-0.0033504085,0.04003468,0.0010974443,-0.017325608
73,-0.21417977,-0.01290638,0.021036237,-0.2808463,-0.0009833868,0.002900742,-0.0048872246,-0.009376779,0.007908808,-4.4935812e-05,-0.0006365916,0.0002641813,-0.0017053271,0.00010971639,0.007764779,-0.00034076118,0.00024171798,-0.00027897494,-0.008678493,0.0005789252,-0.0069423355
76,-0.079689234,-0.022315979,-0.13242325,-0.16662228,-0.0011438819,-0.00020119791,-0.007675785,-0.008775009,0.0070483265,-0.0003218928,-0.00033552924,0.0002641813,-0.0016848722,-0.00013458732,-6.812553e-05,-0.00034076118,0.00074461475,0.0014559373,-0.00883291,0.00021506162,-0.0012477296
78,-0.32785186,-0.030004904,-0.1065764,-0.4089767,0.019097954,0.000927495,-0.009589257,-0.045905013,-0.013018829,0.00364104,0.0007039198,0.0006649533,0.009782158,0.00036522123,-0.011835934,-0.00029728722,-0.0025598602,-0.0058775237,0.08211344,0.0014504065,-0.018685253
99,-0.22330216,-0.03674283,0.063482165,-0.15648547,-0.0009833868,-0.0007825246,-0.0048872246,-0.009096672,-0.0041099247,0.00073379313,-0.0003355292,0.0002641813,-0.0009885605,0.00027066018,0.010746603,-0.00034076118,0.00024171798,-0.0034828316,-0.008568672,0.0005789252,-0.009014782
109,-0.23212306,-0.016355436,0.057861846,0.1613194,-0.0009833868,-0.0007825246,-0.0048188227,-0.008894788,-0.0029762667,0.00013730205,-0.0003355292,0.00033009902,-0.0009885605,0.00015113576,0.008638417,-0.00034076118,0.0001082694,-0.0036113812,-0.008568672,0.0005789252,-0.0007265272
111,-0.30808553,-0.050267864,-0.11321037,-0.19692595,-0.0011438819,-0.00066058704,-0.005695385,-0.008671286,0.0048902677,-4.4935812e-05,-0.00033552924,0.0002641813,-0.0009681056,-0.00013458732,0.004712249,-0.00034076118,0.00061116624,-0.0024259903,-0.009799578,0.00018107111,-0.00915281
115,-0.3751167,-0.03821777,-0.10347713,-0.47026804,-0.005598232,-0.00070116814,-0.008342251,-0.045600418,0.00406448,-1.3785313e-05,-0.0024026232,0.0006649533,-0.002215263,-0.00013458732,0.0060139764,-0.00029728722,-0.0025598602,-0.0058947694,-0.03500399,0.00018107111,-0.033568688
123,-0.3768185,-0.03400348,-0.114458606,-0.46812555,-0.006742361,-0.0023047624,-0.011347775,-0.049670517,-0.0120242415,-1.3785313e-05,0.0007039198,0.0006649533,-0.008514008,-0.00013458732,-0.031037709,-0.00029728722,-0.0025598602,-0.0060662515,-0.045735788,0.0014504065,-0.022670269
124,0.76812965,0.004137003,0.082292676,0.17521878,-0.00062596577,0.00034471625,-0.0047662226,-0.01993972,-0.00309346,-0.0048627593,-0.0011900627,-0.0041777776,-0.0037928473,-0.00076223724,0.015420443,0.012235673,0.0008891388,0.04754217,-0.0048287213,-0.0081040375,0.008759382
135,-0.31973103,-0.026558245,-0.116782926,-0.46788093,-0.004060218,-0.0023047624,-0.010130085,-0.033698484,0.008546287,-1.3785313e-05,-0.00033552924,0.0006649533,-0.0021734724,-0.00013458732,-0.047526553,-0.00029728722,0.00061116624,-0.007728672,-0.03923507,0.0005308125,-0.00015493043
162,0.17362855,-0.0017269462,0.084385455,0.15938075,-0.00072848063,-0.0014757728,-0.0049732225,-0.064317204,-0.006376348,-0.007870348,-0.0006365916,-0.00040424027,-0.004656702,-9.808016e-06,0.011449146,-0.00041855083,0.00024171798,-0.0038923814,-0.004288111,-0.005170646,0.0025871843
168,-0.21285658,0.017172713,-0.103722684,-0.20607781,-0.0011438819,-0.00070116814,0.003996437,-0.005488655,-0.010067834,0.00073379313,0.0002213504,0.0006649533,-0.0009681056,-0.00013458732,0.014579435,-0.00029728722,-0.0025598602,-0.0058349003,-0.009255358,0.0028434813,0.0002910722
173,-0.28951958,0.01649134,-0.100127496,-0.20739263,-0.0011438819,-0.00070116814,0.003996437,-0.0047058985,-0.011621834,0.00073379313,0.0007039198,0.0006649533,-0.002215263,-0.00013458732,0.012471249,-0.00029728722,-0.0025598602,-0.0058349003,-0.012878446,0.0028434813,0.001183814
185,-0.21370673,-0.039165102,-0.11638,-0.5147502,-0.005598232,-0.00070116814,-0.010728055,-0.04956581,-0.010067834,-1.3785313e-05,-0.00033552924,0.0006649533,-0.0009681056,0.00036522123,0.008824089,-0.00037507687,-0.0025598602,-0.005930394,-0.03195207,0.00021506162,-0.03291152
188,-0.31506723,0.015321676,-0.10787968,-0.21209535,-0.002288011,-0.0023047624,0.00274943,-0.0050104912,-0.011213782,0.00073379313,0.0007039198,0.0006649533,0.0015654087,0.00036522123,-0.040318307,-0.00029728722,-0.0025598602,-0.0060063824,-0.02039845,0.0014504065,-0.0006782621
