Feature,RF,XGB,LGBM,MLP
loc,0.03796218766688922,0.06296321925179414,0.08687660125139557,0.28106227725863614
v(g),0.0134114557835045,0.004381979237496852,0.01310066592290791,0.02431610741469018
ev(g),0.020098140567140474,0.020945244162095103,0.014935142194080505,0.01260967805070169
iv(g),0.029091758469686008,0.04423223621360955,0.025472719927287862,0.0127800383346735
n,0.005328228914978694,0.0006370626904070379,0.0016581038514890197,0.01847199096190272
v,0.005417108491066296,0.00028782858780274805,0.002574668775394621,0.004790885387736195
l,0.007182992488384241,0.0023656441040337097,0.006839314688024422,0.0390580632429294
d,0.008735966521077157,0.004491586407274008,0.013683561032586567,0.09573266586827306
i,0.010689270334871144,0.0036646152200177297,0.0114132222466636,0.07853628911272478
e,0.0052009567217342935,0.0003334331112603337,0.010115924937298739,0.005448009329006754
b,0.007028225717660675,0.00018097433727234642,0.005971090955976716,0.022682502571061934
t,0.005079835192955084,0.00026377615096668454,0.0018404656579775554,0.006785606823437785
lOCode,0.007951261129682797,0.0009725773846109703,0.006936330220551764,0.2135744473532066
lOComment,0.003705574855267251,8.931781363983972e-05,0.004127203901405103,0.06595943005578314
lOBlank,0.01855577313579136,0.005479004023286201,0.009135134744257551,0.03865937159595623
locCodeAndComment,0.002494385538721004,0.00019239006179074336,0.0032130800680300877,0.013317543371873262
uniq_Op,0.007669669443926246,0.0006186955564965807,0.006424294645558714,0.03466629921514458
uniq_Opnd,0.010708963860105057,0.0018410998423273365,0.007196870080113816,0.030263586269570753
total_Op,0.008617588375566304,0.004625434945523739,0.01282544182459595,0.023137545955385877
total_Opnd,0.0046129803655785935,0.0007045664370680856,0.009595489568360031,0.1004679031494619
branchCount,0.011253396486524321,0.0019592632943143456,0.009573432162479613,0.03688048881229792
