Model_A,Model_B,SHAP_Observation,Original_Test_Index,Local_Spearman,Local_Cosine
RF,XGB,0,23,0.735064935064935,0.8180451850673998
RF,XGB,1,29,0.8103896103896104,0.7951466488156019
RF,XGB,2,30,0.3090909090909091,0.20396561318522327
RF,XGB,3,32,0.6324675324675325,0.9230819806615927
RF,XGB,4,44,0.7116883116883117,0.6757981541956521
RF,XGB,5,49,0.8636363636363636,0.7489147326510395
RF,XGB,6,51,0.461038961038961,0.6889802462197956
RF,XGB,7,59,0.39090909090909093,0.6738339681404819
RF,XGB,8,65,0.7493506493506493,0.8732867643798542
RF,XGB,9,67,0.8363636363636363,0.8424116820575682
RF,XGB,10,69,0.3064935064935065,0.36228058612498265
RF,XGB,11,70,0.7545454545454545,0.7027621128563677
RF,XGB,12,71,0.7844155844155845,0.8556418917330797
RF,XGB,13,73,0.3064935064935065,0.4942645619580974
RF,XGB,14,76,0.464935064935065,0.26946023049861334
RF,XGB,15,78,0.6792207792207793,0.8377580890496445
RF,XGB,16,99,0.39350649350649347,0.27954521786949105
RF,XGB,17,109,0.32987012987012987,0.7690645010263605
RF,XGB,18,111,0.509090909090909,0.5402274662499854
RF,XGB,19,115,0.8181818181818182,0.8523954951569617
RF,XGB,20,123,0.7805194805194805,0.9132593747083411
RF,XGB,21,124,0.7675324675324675,0.8563530285894143
RF,XGB,22,135,0.6701298701298701,0.7654567611078807
RF,XGB,23,162,0.751948051948052,0.561768301152881
RF,XGB,24,168,0.5311688311688313,0.5574206732620326
RF,XGB,25,173,0.4090909090909091,0.5914505296874781
RF,XGB,26,185,0.5103896103896104,0.8989475551084058
RF,XGB,27,188,0.5454545454545454,0.8417239932752177
RF,XGB,28,196,0.6909090909090909,0.8691157594071797
RF,XGB,29,203,0.16883116883116883,-0.029647259147572685
RF,XGB,30,210,0.838961038961039,0.7818304981146614
RF,XGB,31,212,0.5324675324675324,0.8524959795906174
RF,XGB,32,220,0.49350649350649345,0.8438118061636016
RF,XGB,33,233,0.43506493506493504,0.506177383496725
RF,XGB,34,237,0.8545454545454545,0.7994699652969263
